#solver	iter	latency-throughput
ecmp	0	
		3. : 0.294444444444
		4. : 0.461111111111
		5. : 0.572222222222
		6. : 0.627777777778
ecmp	1	
		3. : 0.294444444444
		4. : 0.461111111111
		5. : 0.572222222222
		6. : 0.627777777778
ecmp	2	
		3. : 0.294444444444
		4. : 0.461111111111
		5. : 0.572222222222
		6. : 0.627777777778
ecmp	3	
		3. : 0.294444444444
		4. : 0.461111111111
		5. : 0.572222222222
		6. : 0.627777777778
ecmp	4	
		3. : 0.294444444444
		4. : 0.461111111111
		5. : 0.572222222222
		6. : 0.627777777778
ecmp	5	
		3. : 0.294444444444
		4. : 0.461111111111
		5. : 0.572222222222
		6. : 0.627777777778
ecmp	6	
		3. : 0.294444444444
		4. : 0.461111111111
		5. : 0.572222222222
		6. : 0.627777777778
ecmp	7	
		3. : 0.294444444444
		4. : 0.461111111111
		5. : 0.572222222222
		6. : 0.627777777778
ecmp	8	
		3. : 0.294444444444
		4. : 0.461111111111
		5. : 0.572222222222
		6. : 0.627777777778
ecmp	9	
		3. : 0.294444444444
		4. : 0.461111111111
		5. : 0.572222222222
		6. : 0.627777777778
ksp	0	
		3. : 0.130555555556
		4. : 0.225
		5. : 0.552777777778
		6. : 0.775
		7. : 0.902777777778
		8. : 0.966666666667
ksp	1	
		3. : 0.130555555556
		4. : 0.225
		5. : 0.552777777778
		6. : 0.775
		7. : 0.902777777778
		8. : 0.966666666667
ksp	2	
		3. : 0.130555555556
		4. : 0.225
		5. : 0.552777777778
		6. : 0.775
		7. : 0.902777777778
		8. : 0.966666666667
ksp	3	
		3. : 0.130555555556
		4. : 0.225
		5. : 0.552777777778
		6. : 0.775
		7. : 0.902777777778
		8. : 0.966666666667
ksp	4	
		3. : 0.130555555556
		4. : 0.225
		5. : 0.552777777778
		6. : 0.775
		7. : 0.902777777778
		8. : 0.966666666667
ksp	5	
		3. : 0.130555555556
		4. : 0.225
		5. : 0.552777777778
		6. : 0.775
		7. : 0.902777777778
		8. : 0.966666666667
ksp	6	
		3. : 0.130555555556
		4. : 0.225
		5. : 0.552777777778
		6. : 0.775
		7. : 0.902777777778
		8. : 0.966666666667
ksp	7	
		3. : 0.130555555556
		4. : 0.225
		5. : 0.552777777778
		6. : 0.775
		7. : 0.902777777778
		8. : 0.966666666667
ksp	8	
		3. : 0.130555555556
		4. : 0.225
		5. : 0.552777777778
		6. : 0.775
		7. : 0.902777777778
		8. : 0.966666666667
ksp	9	
		3. : 0.130555555556
		4. : 0.225
		5. : 0.552777777778
		6. : 0.775
		7. : 0.902777777778
		8. : 0.966666666667
mcf	0	
		3. : 0.216666666667
		4. : 0.316666666667
		5. : 0.466666666667
		6. : 0.55
		7. : 0.666666666667
		8. : 0.783333333333
		9. : 0.9
		10. : 1.
mcf	1	
		3. : 0.216666666667
		4. : 0.316666666667
		5. : 0.466666666667
		6. : 0.55
		7. : 0.666666666667
		8. : 0.783333333333
		9. : 0.9
		10. : 1.
mcf	2	
		3. : 0.216666666667
		4. : 0.316666666667
		5. : 0.466666666667
		6. : 0.55
		7. : 0.666666666667
		8. : 0.783333333333
		9. : 0.9
		10. : 1.
mcf	3	
		3. : 0.216666666667
		4. : 0.316666666667
		5. : 0.466666666667
		6. : 0.55
		7. : 0.666666666667
		8. : 0.783333333333
		9. : 0.9
		10. : 1.
mcf	4	
		3. : 0.216666666667
		4. : 0.316666666667
		5. : 0.466666666667
		6. : 0.55
		7. : 0.666666666667
		8. : 0.783333333333
		9. : 0.9
		10. : 1.
mcf	5	
		3. : 0.216666666667
		4. : 0.316666666667
		5. : 0.466666666667
		6. : 0.55
		7. : 0.666666666667
		8. : 0.783333333333
		9. : 0.9
		10. : 1.
mcf	6	
		3. : 0.216666666667
		4. : 0.316666666667
		5. : 0.466666666667
		6. : 0.55
		7. : 0.666666666667
		8. : 0.783333333333
		9. : 0.9
		10. : 1.
mcf	7	
		3. : 0.216666666667
		4. : 0.316666666667
		5. : 0.466666666667
		6. : 0.55
		7. : 0.666666666667
		8. : 0.783333333333
		9. : 0.9
		10. : 1.
mcf	8	
		3. : 0.216666666667
		4. : 0.316666666667
		5. : 0.466666666667
		6. : 0.55
		7. : 0.666666666667
		8. : 0.783333333333
		9. : 0.9
		10. : 1.
mcf	9	
		3. : 0.216666666667
		4. : 0.316666666667
		5. : 0.466666666667
		6. : 0.55
		7. : 0.666666666667
		8. : 0.783333333333
		9. : 0.9
		10. : 1.
mwmcf	0	
		3. : 0.294444444444
		4. : 0.461111111111
		5. : 0.572222222222
		6. : 0.627777777778
mwmcf	1	
		3. : 0.294444444444
		4. : 0.461111111111
		5. : 0.572222222222
		6. : 0.627777777778
mwmcf	2	
		3. : 0.294444444444
		4. : 0.461111111111
		5. : 0.572222222222
		6. : 0.627777777778
mwmcf	3	
		3. : 0.294444444444
		4. : 0.461111111111
		5. : 0.572222222222
		6. : 0.627777777778
mwmcf	4	
		3. : 0.294444444444
		4. : 0.461111111111
		5. : 0.572222222222
		6. : 0.627777777778
mwmcf	5	
		3. : 0.294444444444
		4. : 0.461111111111
		5. : 0.572222222222
		6. : 0.627777777778
mwmcf	6	
		3. : 0.294444444444
		4. : 0.461111111111
		5. : 0.572222222222
		6. : 0.627777777778
mwmcf	7	
		3. : 0.294444444444
		4. : 0.461111111111
		5. : 0.572222222222
		6. : 0.627777777778
mwmcf	8	
		3. : 0.294444444444
		4. : 0.461111111111
		5. : 0.572222222222
		6. : 0.627777777778
mwmcf	9	
		3. : 0.294444444444
		4. : 0.461111111111
		5. : 0.572222222222
		6. : 0.627777777778
raeke	0	
		3. : 0.246187399468
		4. : 0.390448566708
		5. : 0.625371526532
		6. : 0.781110359291
		7. : 0.871524513096
		8. : 0.902401706078
		9. : 0.930877192982
		10. : 1.
raeke	1	
		3. : 0.246187399468
		4. : 0.390448566708
		5. : 0.625371526532
		6. : 0.781110359291
		7. : 0.871524513096
		8. : 0.902401706078
		9. : 0.930877192982
		10. : 1.
raeke	2	
		3. : 0.246187399468
		4. : 0.390448566708
		5. : 0.625371526532
		6. : 0.781110359291
		7. : 0.871524513096
		8. : 0.902401706078
		9. : 0.930877192982
		10. : 1.
raeke	3	
		3. : 0.246187399468
		4. : 0.390448566708
		5. : 0.625371526532
		6. : 0.781110359291
		7. : 0.871524513096
		8. : 0.902401706078
		9. : 0.930877192982
		10. : 1.
raeke	4	
		3. : 0.246187399468
		4. : 0.390448566708
		5. : 0.625371526532
		6. : 0.781110359291
		7. : 0.871524513096
		8. : 0.902401706078
		9. : 0.930877192982
		10. : 1.
raeke	5	
		3. : 0.246187399468
		4. : 0.390448566708
		5. : 0.625371526532
		6. : 0.781110359291
		7. : 0.871524513096
