#solver	iter	latency-throughput
mcf	9	
		1. : 0.163511118761
		2. : 0.268201392153
		3. : 0.352188745076
		4. : 0.425280730127
		5. : 0.483853508317
		6. : 0.563373707437
		7. : 0.614343932511
		8. : 0.638468196286
		9. : 0.649288752105
raeke	0	
		1. : 0.140325251583
		2. : 0.289689350377
		3. : 0.459123727623
		4. : 0.612997501076
		5. : 0.729478182883
		6. : 0.79936568292
		7. : 0.822945812507
		8. : 0.829728334178
		9. : 0.83243459834
		10. : 0.833456504782
raeke	1	
		1. : 0.148926983924
		2. : 0.299305068558
		3. : 0.470393568633
		4. : 0.623049833795
		5. : 0.742756312735
		6. : 0.815412835595
		7. : 0.839565276875
		8. : 0.846374468144
		9. : 0.849100097953
		10. : 0.850227832058
raeke	2	
		1. : 0.126269879726
		2. : 0.231836845993
		3. : 0.332716798402
		4. : 0.428223510786
		5. : 0.513461202488
		6. : 0.572918588228
		7. : 0.605288924216
		8. : 0.624763099449
		9. : 0.630849120921
		10. : 0.632955573825
		11. : 0.63310067801
raeke	3	
		1. : 0.115860236373
		2. : 0.205204008112
		3. : 0.286296684143
		4. : 0.367544212179
		5. : 0.447981354522
		6. : 0.512208358566
		7. : 0.553737585502
		8. : 0.584281743187
		9. : 0.595047829396
		10. : 0.598649680236
		11. : 0.59892893788
raeke	4	
		1. : 0.115001153158
		2. : 0.205684631866
		3. : 0.289253754744
		4. : 0.374337029801
		5. : 0.457606395869
		6. : 0.523984297984
		7. : 0.564507075907
		8. : 0.593554875797
		9. : 0.604989063192
		10. : 0.608538421796
		11. : 0.608785047767
raeke	5	
		1. : 0.120940012292
		2. : 0.214302888853
		3. : 0.301684935198
		4. : 0.38772116052
		5. : 0.470927410018
		6. : 0.536567644488
		7. : 0.576497642318
		8. : 0.605809690096
		9. : 0.619849960455
		10. : 0.623744401813
		11. : 0.623845770024
raeke	6	
		1. : 0.120797279857
		2. : 0.217306392109
		3. : 0.30889960122
		4. : 0.397572426058
		5. : 0.482044288854
		6. : 0.546165728942
		7. : 0.584418274148
		8. : 0.612207417393
		9. : 0.62519059768
		10. : 0.628533923199
		11. : 0.628609479149
raeke	7	
		1. : 0.121678394976
		2. : 0.216469316222
		3. : 0.306603326137
		4. : 0.396507345861
		5. : 0.480808418917
		6. : 0.545664820346
		7. : 0.585432888212
		8. : 0.613764045757
		9. : 0.624905191741
		10. : 0.627529086104
		11. : 0.627651918924
raeke	8	
		1. : 0.126625981595
		2. : 0.225903213083
		3. : 0.318320011348
		4. : 0.406388153547
		5. : 0.48850921562
		6. : 0.553083263976
		7. : 0.59272584277
		8. : 0.620924438798
		9. : 0.631883825804
		10. : 0.634324985463
		11. : 0.63442692127
raeke	9	
		1. : 0.123043039588
		2. : 0.215528098766
		3. : 0.301558469831
		4. : 0.38868857928
		5. : 0.472231661892
		6. : 0.540630818349
		7. : 0.582302244135
		8. : 0.611976055711
		9. : 0.622572882252
