#solver	iter	latency-throughput
		7. : 0.987401231802
		8. : 0.996414413495
		9. : 0.998509621633
		10. : 1.
raeke	1	
		1. : 0.206036488635
		2. : 0.401173295979
		3. : 0.592898876854
		4. : 0.755203604544
		5. : 0.875993589907
		6. : 0.957450418778
		7. : 0.98692678085
		8. : 0.996284929165
		9. : 0.998410021627
		10. : 1.
raeke	2	
		1. : 0.186331198801
		2. : 0.338640625158
		3. : 0.48569374457
		4. : 0.623954225115
		5. : 0.749112157576
		6. : 0.844630990999
		7. : 0.889789064519
		8. : 0.904086041937
		9. : 0.905016775119
		10. : 0.905311863039
raeke	3	
		1. : 0.192199680656
		2. : 0.344352522577
		3. : 0.488023871657
		4. : 0.624885718434
		5. : 0.745626158648
		6. : 0.841308031211
		7. : 0.884860818144
		8. : 0.897962742427
		9. : 0.898945405085
		10. : 0.899261975174
raeke	4	
		1. : 0.191617935777
		2. : 0.349293726108
		3. : 0.496827818857
		4. : 0.635701277378
		5. : 0.755217076572
		6. : 0.849234000773
		7. : 0.89098477723
		8. : 0.903405384575
		9. : 0.904413547317
		10. : 0.90472065724
raeke	5	
		1. : 0.193836344242
		2. : 0.356527523565
		3. : 0.512154685015
		4. : 0.651082696025
		5. : 0.772494462877
		6. : 0.864694861832
		7. : 0.906487359319
		8. : 0.919796178026
		9. : 0.920741192495
		10. : 0.921001162591
raeke	6	
		1. : 0.191230712143
		2. : 0.358751256726
		3. : 0.518638603954
		4. : 0.658340903845
		5. : 0.779305752301
		6. : 0.868582751623
		7. : 0.908692009488
		8. : 0.921396376032
		9. : 0.922395967694
		10. : 0.92263981276
raeke	7	
		1. : 0.194160810755
		2. : 0.360420113713
		3. : 0.519716420117
		4. : 0.658439784849
		5. : 0.780062597108
		6. : 0.870236908387
		7. : 0.911553003515
		8. : 0.924656464109
		9. : 0.925593833517
		10. : 0.925851768658
raeke	8	
		1. : 0.189732227418
		2. : 0.354773458324
		3. : 0.514964566012
		4. : 0.654610975625
		5. : 0.778080772275
		6. : 0.869696282676
		7. : 0.912442529543
		8. : 0.926389695404
		9. : 0.92733608565
		10. : 0.927575890491
raeke	9	
		1. : 0.194142420561
		2. : 0.356698968244
		3. : 0.509651119511
		4. : 0.648491409999
		5. : 0.769210359327
		6. : 0.862781729746
		7. : 0.904685494105
		8. : 0.917400517823
		9. : 0.918443035892
		10. : 0.918708784292
semimcfecmp	0	
		1. : 0.273570149543
		2. : 0.613609499418
		3. : 0.81092620977
		4. : 0.956517226375
		5. : 1.
semimcfecmp	1	
		1. : 0.270868530688
		2. : 0.606176920707
		3. : 0.801686249811
		4. : 0.951612175575
		5. : 1.
semimcfecmp	2	
		1. : 0.225446459961
		2. : 0.461092663827
		3. : 0.57064064999
		4. : 0.648884241628
		5. : 0.675001399863
semimcfecmp	3	
		1. : 0.229918779481
		2. : 0.467063167088
		3. : 0.569000617156
		4. : 0.64804272343
		5. : 0.674828905027
semimcfecmp	4	
		1. : 0.230040750372
		2. : 0.471999235228
		3. : 0.576005694322
		4. : 0.656289474387
		5. : 0.683006448369
semimcfecmp	5	
		1. : 0.230435538112
		2. : 0.470040636989
		3. : 0.580900405686
		4. : 0.656722505478
		5. : 0.682880901872
semimcfecmp	6	
		1. : 0.229842201998
		2. : 0.475530276148
		3. : 0.591758701088
		4. : 0.669121895278
		5. : 0.693238192387
semimcfecmp	7	
		1. : 0.230672638145
		2. : 0.47252984508
		3. : 0.587655466065
		4. : 0.66558640911
		5. : 0.690447399484
semimcfecmp	8	
		1. : 0.228226364964
		2. : 0.468950797206
		3. : 0.58774964114
		4. : 0.664937513825
		5. : 0.688682588466
semimcfecmp	9	
		1. : 0.232189218889
		2. : 0.472334746259
		3. : 0.580118673669
		4. : 0.659728605528
		5. : 0.687380382092
semimcfksp	0	
		1. : 0.228185395799
		2. : 0.486628060973
		3. : 0.636831585894
		4. : 0.732714605353
		5. : 0.914931501295
		6. : 0.972978624646
		7. : 0.997556268645
		8. : 0.998118836906
		9. : 1.
		10. : 1.
		11. : 1.
semimcfksp	1	
		1. : 0.216835000908
		2. : 0.423551997331
		3. : 0.60425254852
		4. : 0.75569777182
		5. : 0.877309712075
		6. : 0.961741111215
		7. : 0.988584499576
		8. : 0.997149483098
		9. : 1.
		10. : 1.
		11. : 1.
semimcfksp	2	
		1. : 0.175878728773
		2. : 0.322741839344
		3. : 0.476098604574
		4. : 0.626568568682
		5. : 0.790881604627
		6. : 0.880809132917
		7. : 0.904451392602
		8. : 0.905010251676
		9. : 0.906685310554
		10. : 0.906685310554
		11. : 0.906685310554
semimcfksp	3	
		1. : 0.194361029569
		2. : 0.354450701485
		3. : 0.515212073972
		4. : 0.662377604479
		5. : 0.805960119911
		6. : 0.888964249942
		7. : 0.901022374637
		8. : 0.901482203275
		9. : 0.901482203275
		10. : 0.901482203275
		11. : 0.901482203275
semimcfksp	4	
		1. : 0.195389295248
		2. : 0.356268189933
		3. : 0.508318444334
		4. : 0.665217913094
		5. : 0.809539575025
		6. : 0.89073760149
		7. : 0.902496515581
		8. : 0.903004624233
		9. : 0.905525712624
		10. : 0.905525712624
		11. : 0.905525712624
semimcfksp	5	
		1. : 0.190731136623
		2. : 0.350446991176
		3. : 0.49209074805
		4. : 0.63929757611
		5. : 0.79184272937
		6. : 0.896645266837
		7. : 0.917108678528
		8. : 0.917930592192
		9. : 0.918923238269
		10. : 0.918923238269
		11. : 0.918923238269
semimcfksp	6	
		1. : 0.192103464839
		2. : 0.370245102738
		3. : 0.524421525936
		4. : 0.670347152871
		5. : 0.816261260627
		6. : 0.913629945388
		7. : 0.924300105749
		8. : 0.924882144337
		9. : 0.924882144337
		10. : 0.924882144337
		11. : 0.924882144337
semimcfksp	7	
		1. : 0.194673599051
		2. : 0.364669640886
		3. : 0.520550262395
		4. : 0.666182196293
		5. : 0.809982694116
		6. : 0.907194645034
		7. : 0.924665150964
		8. : 0.92650262235
		9. : 0.92650262235
		10. : 0.92650262235
		11. : 0.92650262235
semimcfksp	8	
		1. : 0.187694709472
		2. : 0.366530882603
		3. : 0.54497091764
		4. : 0.683598018259
		5. : 0.827696799673
		6. : 0.913588473863
		7. : 0.928576143737
		8. : 0.928839696616
		9. : 0.928839696616
		10. : 0.929106776825
		11. : 0.929106776825
semimcfksp	9	
		1. : 0.200978471432
		2. : 0.367587603248
		3. : 0.514302360221
		4. : 0.661820847542
		5. : 0.813394214564
		6. : 0.907080934174
		7. : 0.920385630568
		8. : 0.920894649373
		9. : 0.920894649373
		10. : 0.920894649373
		11. : 0.920894649373
semimcfmcf	0	
		1. : 0.250237394853
		2. : 0.436677134587
		3. : 0.554312018174
		4. : 0.612459043798
		5. : 0.713569902633
		6. : 0.854354611472
		7. : 0.953645705578
		8. : 1.
semimcfmcf	1	
		1. : 0.248107739035
		2. : 0.439218323263
		3. : 0.549133799819
		4. : 0.607629635331
		5. : 0.708195097838
		6. : 0.85041470842
		7. : 0.950916174552
		8. : 1.
semimcfmcf	2	
		1. : 0.203166525707
		2. : 0.340494595107
		3. : 0.422721307164
		4. : 0.473498109564
		5. : 0.560230649208
		6. : 0.670831266857
		7. : 0.704576594252
		8. : 0.710497652077
semimcfmcf	3	
