# solver	iter	mean-congestion	stddev
akecmp	0	1.292144	0.000000
akecmp	1	1.292144	0.000000
akmcf	0	0.531077	0.000000
akmcf	1	0.531077	0.000000
akraeke	0	0.873914	0.000000
akraeke	1	0.873914	0.000000
akvlb	0	0.935048	0.000000
akvlb	1	0.935048	0.000000
ecmp	0	1.292144	0.000000
ecmp	1	1.292144	0.000000
mcf	0	0.570577	0.000000
mcf	1	0.570577	0.000000
mwmcf	0	1.292144	0.000000
mwmcf	1	1.292144	0.000000
raeke	0	0.879359	0.000000
raeke	1	0.879359	0.000000
semimcfecmp	0	1.292144	0.000000
semimcfecmp	1	1.292144	0.000000
semimcfmcf	0	0.534959	0.000000
semimcfmcf	1	0.534959	0.000000
semimcfraeke	0	0.608388	0.000000
semimcfraeke	1	0.648669	0.000000
semimcfvlb	0	0.547464	0.000000
semimcfvlb	1	0.547464	0.000000
spf	0	1.292144	0.000000
spf	1	1.292144	0.000000
vlb	0	0.935048	0.000000
vlb	1	0.935048	0.000000

