#solver	iter	latency-throughput
ecmp	0	
		3. : 0.294444444444
		4. : 0.461111111111
		5. : 0.572222222222
		6. : 0.627777777778
ecmp	1	
		3. : 0.294444444444
		4. : 0.461111111111
		5. : 0.572222222222
		6. : 0.627777777778
ecmp	2	
		3. : 0.2445
		4. : 0.386027777778
		5. : 0.460194444444
		6. : 0.467138888889
ecmp	3	
		3. : 0.264555555556
		4. : 0.352222222222
		5. : 0.365555555556
		6. : 0.3725
ecmp	4	
		3. : 0.264555555556
		4. : 0.352222222222
		5. : 0.365555555556
		6. : 0.3725
ecmp	5	
		3. : 0.264555555556
		4. : 0.352222222222
		5. : 0.365555555556
		6. : 0.3725
ecmp	6	
		3. : 0.264555555556
		4. : 0.352222222222
		5. : 0.365555555556
		6. : 0.3725
ecmp	7	
		3. : 0.2445
		4. : 0.386027777778
		5. : 0.460194444444
		6. : 0.467138888889
ecmp	8	
		3. : 0.264555555556
		4. : 0.352222222222
		5. : 0.365555555556
		6. : 0.3725
ecmp	9	
		3. : 0.2445
		4. : 0.386027777778
		5. : 0.460194444444
		6. : 0.467138888889
ksp	0	
		3. : 0.130555555556
		4. : 0.225
		5. : 0.552777777778
		6. : 0.775
		7. : 0.902777777778
		8. : 0.966666666667
ksp	1	
		3. : 0.130555555556
		4. : 0.225
		5. : 0.552777777778
		6. : 0.775
		7. : 0.902777777778
		8. : 0.966666666667
ksp	2	
		3. : 0.130555555556
		4. : 0.225
		5. : 0.523444444444
		6. : 0.731
		7. : 0.844444444444
		8. : 0.8795
ksp	3	
		3. : 0.103361111111
		4. : 0.143722222222
		5. : 0.417694444444
		6. : 0.562083333333
		7. : 0.651583333333
		8. : 0.703666666667
ksp	4	
		3. : 0.130555555556
		4. : 0.225
		5. : 0.523444444444
		6. : 0.730833333333
		7. : 0.844444444444
		8. : 0.8795
ksp	5	
		3. : 0.103333333333
		4. : 0.173138888889
		5. : 0.476388888889
		6. : 0.649833333333
		7. : 0.752611111111
		8. : 0.79
ksp	6	
		3. : 0.130555555556
		4. : 0.225
		5. : 0.523444444444
		6. : 0.704444444444
		7. : 0.788722222222
		8. : 0.852611111111
ksp	7	
		3. : 0.103361111111
		4. : 0.143722222222
		5. : 0.417694444444
		6. : 0.562083333333
		7. : 0.651583333333
		8. : 0.703666666667
ksp	8	
		3. : 0.130555555556
		4. : 0.225
		5. : 0.523444444444
		6. : 0.731333333333
		7. : 0.844944444444
		8. : 0.908833333333
ksp	9	
		3. : 0.130555555556
		4. : 0.225
		5. : 0.523444444444
		6. : 0.731166666667
		7. : 0.844611111111
		8. : 0.9085
mcf	0	
		3. : 0.216666666667
		4. : 0.316666666667
		5. : 0.466666666667
		6. : 0.55
		7. : 0.666666666667
		8. : 0.783333333333
		9. : 0.9
		10. : 1.
mcf	1	
		3. : 0.216666666667
		4. : 0.316666666667
		5. : 0.466666666667
		6. : 0.55
		7. : 0.666666666667
		8. : 0.783333333333
		9. : 0.9
		10. : 1.
mcf	2	
		3. : 0.216666666667
		4. : 0.316666666667
		5. : 0.466666666667
		6. : 0.55
		7. : 0.666666666667
		8. : 0.754666666667
		9. : 0.7995
		10. : 0.885
mcf	3	
		3. : 0.216666666667
		4. : 0.316666666667
		5. : 0.466666666667
		6. : 0.55
		7. : 0.652333333333
		8. : 0.697166666667
		9. : 0.784833333333
		10. : 0.884833333333
mcf	4	
		3. : 0.216666666667
		4. : 0.316666666667
		5. : 0.466666666667
		6. : 0.55
		7. : 0.637333333333
		8. : 0.725666666667
		9. : 0.828
		10. : 0.928
mcf	5	
		3. : 0.216666666667
		4. : 0.316666666667
		5. : 0.437333333333
		6. : 0.506
		7. : 0.594
		8. : 0.710666666667
		9. : 0.784833333333
		10. : 0.884833333333
mcf	6	
		3. : 0.216666666667
		4. : 0.316666666667
		5. : 0.437333333333
		6. : 0.506
		7. : 0.622666666667
		8. : 0.71
		9. : 0.826666666667
		10. : 0.885166666667
mcf	7	
		3. : 0.157333333333
		4. : 0.242666666667
		5. : 0.392666666667
		6. : 0.476
		7. : 0.592666666667
		8. : 0.709333333333
		9. : 0.812166666667
		10. : 0.8825
mcf	8	
		3. : 0.216666666667
		4. : 0.316666666667
		5. : 0.437
		6. : 0.520333333333
		7. : 0.622833333333
		8. : 0.667833333333
		9. : 0.7845
		10. : 0.8845
mcf	9	
		3. : 0.157333333333
		4. : 0.242666666667
		5. : 0.392666666667
		6. : 0.476
		7. : 0.592666666667
		8. : 0.709333333333
		9. : 0.812166666667
		10. : 0.8825
mwmcf	0	
		3. : 0.294444444444
		4. : 0.461111111111
		5. : 0.572222222222
		6. : 0.627777777778
mwmcf	1	
		3. : 0.294444444444
		4. : 0.461111111111
		5. : 0.572222222222
		6. : 0.627777777778
mwmcf	2	
		3. : 0.264555555556
		4. : 0.352222222222
		5. : 0.365555555556
		6. : 0.3725
mwmcf	3	
		3. : 0.264555555556
		4. : 0.352222222222
		5. : 0.365555555556
		6. : 0.3725
mwmcf	4	
		3. : 0.2445
		4. : 0.386027777778
		5. : 0.460194444444
		6. : 0.467138888889
mwmcf	5	
		3. : 0.264555555556
		4. : 0.352222222222
		5. : 0.365555555556
		6. : 0.3725
mwmcf	6	
		3. : 0.2445
		4. : 0.386027777778
		5. : 0.460194444444
		6. : 0.467138888889
mwmcf	7	
		3. : 0.264555555556
		4. : 0.352222222222
		5. : 0.365555555556
		6. : 0.3725
mwmcf	8	
		3. : 0.2445
		4. : 0.386027777778
		5. : 0.460194444444
		6. : 0.467138888889
mwmcf	9	
		3. : 0.2445
		4. : 0.386027777778
		5. : 0.460194444444
		6. : 0.467138888889
raeke	0	
		3. : 0.256625894194
		4. : 0.406602827426
		5. : 0.63169267691
		6. : 0.781715743678
		7. : 0.839741909467
		8. : 0.876182587433
		9. : 0.936440677966
		10. : 1.
raeke	1	
		3. : 0.256625894194
		4. : 0.406602827426
		5. : 0.63169267691
		6. : 0.781715743678
		7. : 0.839741909467
		8. : 0.876182587433
		9. : 0.936440677966
		10. : 1.
raeke	2	
		3. : 0.256625894194
		4. : 0.406602827426
		5. : 0.63169267691
		6. : 0.781715743678
		7. : 0.839741909467
		8. : 0.876182587433
		9. : 0.909979139505
		10. : 0.948954623766
raeke	3	
		3. : 0.256625894194
		4. : 0.406602827426
		5. : 0.613684721913
		6. : 0.721519699333
		7. : 0.729063100886
		8. : 0.733982592411
		9. : 0.794240682945
		10. : 0.857800004979
raeke	4	
		3. : 0.200115940812
		4. : 0.308751673737
		5. : 0.496819242749
		6. : 0.646842309517
		7. : 0.704868475306
		8. : 0.741309153272
		9. : 0.801567243805
		10. : 0.865126565839
raeke	5	
		3. : 0.256625894194
		4. : 0.406602827426
		5. : 0.63169267691
