#solver	iter	latency-throughput
		10. : 0.803086830733
		11. : 0.803476982205
raeke	5	
		1. : 0.176473314339
		2. : 0.326383991395
		3. : 0.479695214716
		4. : 0.622514665232
		5. : 0.731333884474
		6. : 0.791160918181
		7. : 0.814568144507
		10. : 0.817213834326
		11. : 0.817359287698
raeke	6	
		1. : 0.17744232403
		2. : 0.330471900455
		3. : 0.487252879766
		4. : 0.630559510546
		5. : 0.738161279757
		6. : 0.7941434786
		7. : 0.816816348266
		10. : 0.819418701042
		11. : 0.819533381409
raeke	7	
		1. : 0.178009172646
		2. : 0.329571817233
		3. : 0.486089805614
		4. : 0.629942380773
		5. : 0.738040457251
		6. : 0.795662981095
		7. : 0.818834210861
		10. : 0.821274242818
		11. : 0.821406199944
raeke	8	
		1. : 0.180415327748
		2. : 0.334069543659
		3. : 0.495248266347
		4. : 0.640224157291
		5. : 0.744432121857
		6. : 0.800323732732
		7. : 0.823792487664
		10. : 0.826177387614
		11. : 0.826293296934
raeke	9	
		1. : 0.179520860517
		2. : 0.329867558523
		3. : 0.482296820269
		4. : 0.624722787054
		5. : 0.732901174011
		6. : 0.794302975015
		7. : 0.818455528649
		10. : 0.821205022726
		11. : 0.82133735616
semimcfecmp	0	
		1. : 0.273570149543
		2. : 0.613609499418
		3. : 0.81092620977
		4. : 0.956517226375
		5. : 1.
semimcfecmp	1	
		1. : 0.270868530688
		2. : 0.606176920707
		3. : 0.801516574825
		4. : 0.95144250059
		5. : 0.999830325014
semimcfecmp	2	
		1. : 0.225446459961
		2. : 0.461092663827
		3. : 0.569744694565
		4. : 0.647988286203
		5. : 0.674105444438
semimcfecmp	3	
		1. : 0.229918779481
		2. : 0.466993199097
		3. : 0.56874569993
		4. : 0.647787806204
		5. : 0.674573987801
semimcfecmp	4	
		1. : 0.230040750372
		2. : 0.471999235228
		3. : 0.576005694322
		4. : 0.656289474387
		5. : 0.683006448369
semimcfecmp	5	
		1. : 0.230435538112
		2. : 0.470040636989
		3. : 0.580900405686
		4. : 0.656722505478
		5. : 0.682880901872
semimcfecmp	6	
		1. : 0.229842201998
		2. : 0.475530276148
		3. : 0.591758701088
		4. : 0.669121895278
		5. : 0.693238192387
semimcfecmp	7	
		1. : 0.230672638145
		2. : 0.47252984508
		3. : 0.587655466065
		4. : 0.66558640911
		5. : 0.690447399484
semimcfecmp	8	
		1. : 0.228226364964
		2. : 0.468950797206
		3. : 0.58774964114
		4. : 0.664937513825
		5. : 0.688682588466
semimcfecmp	9	
		1. : 0.232189218889
		2. : 0.472334746259
		3. : 0.580118673669
		4. : 0.659728605528
		5. : 0.687380382092
semimcfksp	0	
		1. : 0.184077987048
		2. : 0.437471165195
		3. : 0.629342298124
		4. : 0.841028451229
		5. : 0.983716713665
		6. : 1.
		7. : 1.
semimcfksp	1	
		1. : 0.231765281031
		2. : 0.473670985859
		3. : 0.678793162845
		4. : 0.893248917755
		5. : 0.98903650325
		6. : 0.99934804196
		7. : 1.
semimcfksp	2	
		1. : 0.18059445299
		2. : 0.342986880457
		3. : 0.516377000561
		4. : 0.674567844188
		5. : 0.799798303705
		6. : 0.819857816335
		7. : 0.820272387547
semimcfksp	3	
		1. : 0.196643343615
		2. : 0.369704398211
		3. : 0.526958888614
		4. : 0.678550125349
		5. : 0.796732798045
		6. : 0.815579547206
		7. : 0.81583914833
semimcfksp	4	
		1. : 0.190341328552
		2. : 0.363224101083
		3. : 0.522042620134
		4. : 0.676833966533
		5. : 0.80007881849
		6. : 0.824454960855
		7. : 0.824454960855
semimcfksp	5	
		1. : 0.178291974214
		2. : 0.353864647552
		3. : 0.528535262103
		4. : 0.688028948211
		5. : 0.813676455569
		6. : 0.830490029217
		7. : 0.830702748773
semimcfksp	6	
		1. : 0.176174743047
		2. : 0.355528356725
		3. : 0.536857103556
		4. : 0.689687968861
		5. : 0.804577128743
		6. : 0.825959822205
		7. : 0.82639559684
semimcfksp	7	
		1. : 0.179798402772
		2. : 0.34887924383
		3. : 0.530803617532
		4. : 0.69414009141
		5. : 0.813330582241
		6. : 0.83147079877
		7. : 0.832244859241
semimcfksp	8	
		1. : 0.197711051563
		2. : 0.378510249716
		3. : 0.550791560486
		4. : 0.697101827304
		5. : 0.816945631607
		6. : 0.830139850099
		7. : 0.830256238185
semimcfksp	9	
		1. : 0.187601105953
		2. : 0.362979105161
		3. : 0.534637238683
		4. : 0.703474872748
		5. : 0.818269057631
		6. : 0.834305575003
		7. : 0.834494372507
semimcfmcf	0	
		1. : 0.250237394853
		2. : 0.436677134587
		3. : 0.554312018174
		4. : 0.612459043798
		5. : 0.713569902633
		6. : 0.854354611472
		7. : 0.953645705578
		8. : 1.
semimcfmcf	1	
		1. : 0.248107739035
		2. : 0.439218323263
		3. : 0.549133799819
		4. : 0.607629635331
		5. : 0.708195097838
		6. : 0.85041470842
		7. : 0.950916174552
		8. : 1.
semimcfmcf	2	
		1. : 0.203166525707
		2. : 0.340494595107
		3. : 0.422721307164
		4. : 0.473498109564
		5. : 0.560230649208
		6. : 0.670831266857
		7. : 0.704576594252
		8. : 0.710497652077
semimcfmcf	3	
		1. : 0.209510100119
		2. : 0.355714269688
		3. : 0.425972228478
		4. : 0.475139553311
		5. : 0.562343385948
		6. : 0.660179193307
		7. : 0.692351717256
		8. : 0.69832867633
semimcfmcf	4	
		1. : 0.208752059068
		2. : 0.356951704031
		3. : 0.428989921322
		4. : 0.47935617023
		5. : 0.567336734988
		6. : 0.665665614288
		7. : 0.698946429909
		8. : 0.70478046608
semimcfmcf	5	
		1. : 0.209047465991
		2. : 0.348729514723
		3. : 0.4286847328
		4. : 0.479262097138
		5. : 0.563694218278
		6. : 0.669610518912
		7. : 0.704404697392
		8. : 0.710182279726
semimcfmcf	6	
		1. : 0.206508133273
		2. : 0.348891685178
		3. : 0.433225252959
		4. : 0.484505147451
		5. : 0.574060030806
		6. : 0.681730927821
		7. : 0.71639022643
		8. : 0.722241164921
semimcfmcf	7	
		1. : 0.209329501932
		2. : 0.347142420887
		3. : 0.431552382937
		4. : 0.483876401949
		5. : 0.567845723558
		6. : 0.677103940003
		7. : 0.711417867859
		8. : 0.717464525739
semimcfmcf	8	
		1. : 0.209607909439
		2. : 0.343739392302
		3. : 0.432951811661
		4. : 0.48586496148
		5. : 0.567247986704
		6. : 0.688272332422
		7. : 0.721295134404
		8. : 0.726882275469
semimcfmcf	9	
		1. : 0.213840594855
		2. : 0.354980440192
		3. : 0.431711713192
		4. : 0.484349434267
		5. : 0.568499503481
		6. : 0.675560596097
		7. : 0.707682710107
		8. : 0.713363362827
semimcfraeke	0	
		1. : 0.210379454687
		2. : 0.460797126642
