# solver	iter	max-exp-congestion	stddev
ecmp	0	1.491119	0.000000
ecmp	1	1.516209	0.000000
ecmp	2	1.558678	0.000000
ecmp	3	1.525379	0.000000
ecmp	4	1.471129	0.000000
ecmp	5	1.405973	0.000000
ecmp	6	1.413490	0.000000
ecmp	7	1.380001	0.000000
ecmp	8	1.386968	0.000000
ecmp	9	1.375314	0.000000
ksp	0	1.822550	0.000000
ksp	1	1.841512	0.000000
ksp	2	1.876130	0.000000
ksp	3	1.917301	0.000000
ksp	4	1.862022	0.000000
ksp	5	1.757705	0.000000
ksp	6	1.743776	0.000000
ksp	7	1.733442	0.000000
ksp	8	1.704037	0.000000
ksp	9	1.763089	0.000000
mcf	0	1.200000	0.000000
mcf	1	1.200232	0.000000
mcf	2	1.213093	0.000000
mcf	3	1.232271	0.000000
mcf	4	1.205573	0.000000
mcf	5	1.138871	0.000000
mcf	6	1.141553	0.000000
mcf	7	1.122909	0.000000
mcf	8	1.118130	0.000000
mcf	9	1.146480	0.000000
raeke	0	1.382175	0.000000
raeke	1	1.398184	0.000000
raeke	2	1.421322	0.000000
raeke	3	2.464542	0.000000
raeke	4	2.411145	0.000000
raeke	5	2.277742	0.000000
raeke	6	2.283106	0.000000
raeke	7	2.245818	0.000000
raeke	8	2.236260	0.000000
raeke	9	2.292960	0.000000
semimcfecmp	0	1.476535	0.000000
semimcfecmp	1	1.501103	0.000000
semimcfecmp	2	1.546881	0.000000
semimcfecmp	3	2.464542	0.000000
semimcfecmp	4	2.411145	0.000000
semimcfecmp	5	2.277742	0.000000
semimcfecmp	6	2.283106	0.000000
semimcfecmp	7	2.245818	0.000000
semimcfecmp	8	2.236260	0.000000
semimcfecmp	9	2.292960	0.000000
semimcfksp	0	1.200000	0.000000
semimcfksp	1	1.200232	0.000000
semimcfksp	2	1.213093	0.000000
semimcfksp	3	2.464542	0.000000
semimcfksp	4	2.411145	0.000000
semimcfksp	5	2.277742	0.000000
semimcfksp	6	2.283106	0.000000
semimcfksp	7	2.245818	0.000000
semimcfksp	8	2.236260	0.000000
semimcfksp	9	2.292960	0.000000
semimcfmcf	0	1.200000	0.000000
semimcfmcf	1	1.200232	0.000000
semimcfmcf	2	1.266232	0.000000
semimcfmcf	3	2.464542	0.000000
semimcfmcf	4	2.411145	0.000000
semimcfmcf	5	2.277742	0.000000
semimcfmcf	6	2.283106	0.000000
semimcfmcf	7	2.245818	0.000000
semimcfmcf	8	2.236260	0.000000
semimcfmcf	9	2.292960	0.000000
semimcfraeke	0	1.200000	0.000000
semimcfraeke	1	1.200232	0.000000
semimcfraeke	2	1.213093	0.000000
semimcfraeke	3	2.464542	0.000000
semimcfraeke	4	2.411145	0.000000
semimcfraeke	5	2.277742	0.000000
semimcfraeke	6	2.283106	0.000000
semimcfraeke	7	2.245818	0.000000
semimcfraeke	8	2.236260	0.000000
semimcfraeke	9	2.292960	0.000000
semimcfvlb	0	1.200000	0.000000
semimcfvlb	1	1.200232	0.000000
semimcfvlb	2	1.213093	0.000000
semimcfvlb	3	2.464542	0.000000
semimcfvlb	4	2.411145	0.000000
semimcfvlb	5	2.277742	0.000000
semimcfvlb	6	2.283106	0.000000
semimcfvlb	7	2.245818	0.000000
semimcfvlb	8	2.236260	0.000000
semimcfvlb	9	2.292960	0.000000
spf	0	1.476535	0.000000
spf	1	1.501103	0.000000
spf	2	1.546881	0.000000
spf	3	1.513396	0.000000
spf	4	1.460592	0.000000
spf	5	1.395632	0.000000
spf	6	1.402556	0.000000
spf	7	1.368603	0.000000
spf	8	1.375621	0.000000
spf	9	1.362881	0.000000
vlb	0	1.806209	0.000000
vlb	1	1.885705	0.000000
vlb	2	1.873999	0.000000
vlb	3	1.927825	0.000000
vlb	4	1.836097	0.000000
vlb	5	1.785482	0.000000
vlb	6	1.731814	0.000000
vlb	7	1.754483	0.000000
vlb	8	1.746031	0.000000
vlb	9	1.730753	0.000000

