#solver	iter	latency-throughput
		9. : 1.
raeke	1	
		1. : 0.214177519691
		2. : 0.421262384606
		3. : 0.643040301001
		4. : 0.81695219928
		5. : 0.93056787548
		6. : 0.976780250594
		7. : 0.992080152271
		8. : 0.998960558534
		9. : 1.
raeke	2	
		1. : 0.19042888403
		2. : 0.349735868351
		3. : 0.507928989668
		4. : 0.644185105605
		5. : 0.752993872426
		6. : 0.824716185599
		7. : 0.866425239496
		8. : 0.891423737183
		9. : 0.894532993115
		10. : 0.89624176656
		11. : 0.896417452242
raeke	3	
		1. : 0.194719179486
		2. : 0.343187256668
		3. : 0.489035630552
		4. : 0.624788289886
		5. : 0.741679253645
		6. : 0.846484043176
		7. : 0.898735880416
		8. : 0.923086482384
		9. : 0.92748298702
		10. : 0.930863395632
		11. : 0.931083067763
raeke	4	
		1. : 0.194225560779
		2. : 0.347702999183
		3. : 0.498767086313
		4. : 0.640394027123
		5. : 0.760929067565
		6. : 0.868758515045
		7. : 0.913999743638
		8. : 0.930633117182
		9. : 0.935197725655
		10. : 0.936926749971
raeke	5	
		1. : 0.197094153213
		2. : 0.357458678377
		3. : 0.518570810817
		4. : 0.657712256196
		5. : 0.781255091406
		6. : 0.889689956924
		7. : 0.936317730165
		8. : 0.952615835295
		9. : 0.957175236395
		10. : 0.957381924002
raeke	6	
		1. : 0.194126333047
		2. : 0.360934172487
		3. : 0.52765673285
		4. : 0.661757443815
		5. : 0.786985015951
		6. : 0.892911015492
		7. : 0.93790435912
		8. : 0.950282564482
		9. : 0.954907485923
		10. : 0.957758518176
raeke	7	
		1. : 0.19838469866
		2. : 0.365144286917
		3. : 0.532235405536
		4. : 0.665017650563
		5. : 0.788388748483
		6. : 0.890199048063
		7. : 0.930680223184
		8. : 0.951710221964
		9. : 0.958076562221
		10. : 0.962683412048
		11. : 0.962772810994
raeke	8	
		1. : 0.193779427949
		2. : 0.360511960759
		3. : 0.526474365609
		4. : 0.657383298737
		5. : 0.776957069719
		6. : 0.87529212685
		7. : 0.924674027992
		8. : 0.954643679408
		9. : 0.962016277732
		10. : 0.963930346631
		11. : 0.964068497389
raeke	9	
		1. : 0.196014679385
		2. : 0.358798907157
		3. : 0.515759086095
		4. : 0.648463847252
		5. : 0.766948456421
		6. : 0.869691815769
		7. : 0.922758168623
		8. : 0.946338443581
		9. : 0.952889773544
		10. : 0.954646050388
		11. : 0.954754443477
semimcfecmp	0	
		1. : 0.273570149543
		2. : 0.613609499418
		3. : 0.81092620977
		4. : 0.956517226375
		5. : 1.
semimcfecmp	1	
		1. : 0.270868530688
		2. : 0.606176920707
		3. : 0.801686249811
		4. : 0.951612175575
		5. : 1.
semimcfecmp	2	
		1. : 0.221388762922
		2. : 0.444258318533
		3. : 0.597434966123
		4. : 0.717532731207
		5. : 0.795777573827
		6. : 0.838312110197
semimcfecmp	3	
		1. : 0.214814245202
		2. : 0.409542810404
		3. : 0.580582934646
		4. : 0.725750250717
		5. : 0.844477597718
		6. : 0.930445363984
semimcfecmp	4	
		1. : 0.214529825672
		2. : 0.414601359127
		3. : 0.590530805441
		4. : 0.73805426419
		5. : 0.853188989848
		6. : 0.936838653718
semimcfecmp	5	
		1. : 0.219245201094
		2. : 0.424541555836
		3. : 0.606520994634
		4. : 0.755340180436
		5. : 0.8745306433
		6. : 0.957469545144
semimcfecmp	6	
		1. : 0.21834730781
		2. : 0.433345948989
		3. : 0.622529620076
		4. : 0.768976180746
		5. : 0.882569315845
		6. : 0.957988216852
semimcfecmp	7	
		1. : 0.220687862552
		2. : 0.432357015932
		3. : 0.619228378177
		4. : 0.764894517977
		5. : 0.883509429967
		6. : 0.962839741743
semimcfecmp	8	
		1. : 0.21993587786
		2. : 0.435540999922
		3. : 0.622606593233
		4. : 0.767514554341
		5. : 0.886324333094
		6. : 0.964583063629
semimcfecmp	9	
		1. : 0.217634119112
		2. : 0.423711759791
		3. : 0.604118493464
		4. : 0.753247891542
		5. : 0.871891005265
		6. : 0.954167705308
semimcfksp	0	
		1. : 0.184077987048
		2. : 0.437471165195
		3. : 0.629342298124
		4. : 0.84102845123
		5. : 0.983716713665
		6. : 1.
		7. : 1.
semimcfksp	1	
		1. : 0.231765281031
		2. : 0.473670985859
		3. : 0.678793162845
		4. : 0.893248917755
		5. : 0.98903650325
		6. : 0.99934804196
		7. : 1.
semimcfksp	2	
		1. : 0.182055240766
		2. : 0.357030449741
		3. : 0.529747389605
		4. : 0.698774285504
		5. : 0.839786373399
		6. : 0.895098349027
		7. : 0.901793366595
		8. : 0.902361153978
		9. : 0.903550688543
		10. : 0.903550688543
semimcfksp	3	
		1. : 0.199723272776
		2. : 0.35505935056
		3. : 0.526612484877
		4. : 0.695864852558
		5. : 0.820015595189
		6. : 0.907477620086
		7. : 0.922065686244
		8. : 0.924402949165
		9. : 0.92584447312
		10. : 0.930445363984
semimcfksp	4	
		1. : 0.186323697812
		2. : 0.341700963081
		3. : 0.512133400696
		4. : 0.670922791177
		5. : 0.822754581578
		6. : 0.917458620986
		7. : 0.926475376554
		8. : 0.932859855271
		9. : 0.936838653718
		10. : 0.936838653718
semimcfksp	5	
		1. : 0.195829439301
		2. : 0.339513044938
		3. : 0.5027382232
		4. : 0.656595645073
		5. : 0.825919695209
		6. : 0.934297653077
		7. : 0.95710407756
		8. : 0.957469545144
		9. : 0.957469545144
		10. : 0.957469545144
semimcfksp	6	
		1. : 0.179387370691
		2. : 0.348921959489
		3. : 0.543963186407
		4. : 0.696297575514
		5. : 0.834458523263
		6. : 0.919285960216
		7. : 0.940831516912
		8. : 0.947859170726
		9. : 0.957988216852
		10. : 0.957988216852
semimcfksp	7	
		1. : 0.185947120334
		2. : 0.349205543992
		3. : 0.510818469785
		4. : 0.687722736976
		5. : 0.829871670649
		6. : 0.932612955643
		7. : 0.953335716597
		8. : 0.95538201345
		9. : 0.961554344063
		10. : 0.962839741743
semimcfksp	8	
		1. : 0.185007021894
		2. : 0.370359271598
		3. : 0.569334270959
		4. : 0.72189095774
		5. : 0.851399611755
		6. : 0.935141950287
		7. : 0.948402231553
		8. : 0.963074724689
		9. : 0.964583063629
		10. : 0.964583063629
semimcfksp	9	
		1. : 0.191522871407
		2. : 0.343242541618
		3. : 0.527960793206
		4. : 0.702287537697
		5. : 0.848685942597
		6. : 0.93833243813
		7. : 0.949715407237
		8. : 0.951608905431
		9. : 0.954167705308
		10. : 0.954167705308
semimcfmcf	0	
		1. : 0.250237394853
		2. : 0.436677134587
		3. : 0.554312018174
		4. : 0.612459043798
		5. : 0.713569902633
		6. : 0.854354611472
		7. : 0.953645705578
		8. : 1.
semimcfmcf	1	
		1. : 0.248107739035
		2. : 0.439218323263
		3. : 0.549133799819
		4. : 0.607629635331
		5. : 0.708195097838
		6. : 0.85041470842
		7. : 0.950916174552
		8. : 1.
semimcfmcf	2	
		1. : 0.19406472625
		2. : 0.320120882094
		3. : 0.425039208104
		4. : 0.514201610051
		5. : 0.60721046866
		6. : 0.726165233213
		7. : 0.784101893918
		8. : 0.831464389008
		9. : 0.845214061207
semimcfmcf	3	
		1. : 0.193255151252
		2. : 0.310675011259
		3. : 0.425255397893
		4. : 0.545578584055
		5. : 0.645788817653
		6. : 0.761635467566
		7. : 0.82591466045
		8. : 0.907022521979
		9. : 0.93124867397
semimcfmcf	4	
		1. : 0.195537101071
		2. : 0.313935609356
		3. : 0.432587396775
		4. : 0.557525663305
		5. : 0.656420443048
		6. : 0.769943105481
		7. : 0.834280958457
		8. : 0.913822506341
		9. : 0.93670893665
semimcfmcf	5	
		1. : 0.192066354971
		2. : 0.31132510548
		3. : 0.439588211824
		4. : 0.562611097823
		5. : 0.658212935037
		6. : 0.774809566275
		7. : 0.845029358735
		8. : 0.927430336318
		9. : 0.956691089272
semimcfmcf	6	
		1. : 0.184421329467
		2. : 0.304089496575
		3. : 0.438169700706
		4. : 0.560008948747
		5. : 0.655309207691
		6. : 0.775802901761
		7. : 0.852157259269
		8. : 0.930987043059
		9. : 0.957895526795
semimcfmcf	7	
		1. : 0.187769694329
		2. : 0.304571156486
		3. : 0.438825959845
		4. : 0.561869952735
		5. : 0.658593323018
		6. : 0.777227306143
		7. : 0.853572436651
		8. : 0.933265854975
		9. : 0.962735179123
semimcfmcf	8	
		1. : 0.190671804714
		2. : 0.306906308856
		3. : 0.438015938847
		4. : 0.561217779362
		5. : 0.648701727668
		6. : 0.767391100374
		7. : 0.849502602792
		8. : 0.930631808588
		9. : 0.965133028243
semimcfmcf	9	
		1. : 0.195535329483
		2. : 0.313911067175
		3. : 0.436336747081
		4. : 0.560700071667
		5. : 0.649016030176
