# solver	iter	mean-congestion	stddev
akecmp	0	0.569969	0.000000
akecmp	1	0.569969	0.000000
akmcf	0	0.142492	0.000000
akmcf	1	0.142492	0.000000
akraeke	0	0.647399	0.000000
akraeke	1	0.647399	0.000000
akvlb	0	0.701286	0.000000
akvlb	1	0.701286	0.000000
ecmp	0	0.569969	0.000000
ecmp	1	0.569969	0.000000
mcf	0	0.373130	0.000000
mcf	1	0.373130	0.000000
mwmcf	0	0.569969	0.000000
mwmcf	1	0.569969	0.000000
raeke	0	0.643072	0.000000
raeke	1	0.643072	0.000000
semimcfecmp	0	0.569969	0.000000
semimcfecmp	1	0.569969	0.000000
semimcfmcf	0	0.142492	0.000000
semimcfmcf	1	0.142492	0.000000
semimcfraeke	0	0.391165	0.000000
semimcfraeke	1	0.391165	0.000000
semimcfvlb	0	0.319444	0.000000
semimcfvlb	1	0.319444	0.000000
spf	0	0.569969	0.000000
spf	1	0.569969	0.000000
vlb	0	0.701286	0.000000
vlb	1	0.701286	0.000000

