# solver	iter	time	stddev
akecmp	0	0.413120	0.000000
akecmp	1	0.431231	0.000000
akmcf	0	0.253536	0.000000
akmcf	1	0.238968	0.000000
akraeke	0	6.785646	0.000000
akraeke	1	5.987700	0.000000
akvlb	0	0.901609	0.000000
akvlb	1	1.467870	0.000000
ecmp	0	0.002525	0.000000
ecmp	1	0.002507	0.000000
mcf	0	0.872649	0.000000
mcf	1	0.489835	0.000000
mwmcf	0	0.020218	0.000000
mwmcf	1	0.000001	0.000000
raeke	0	7.155469	0.000000
raeke	1	0.000001	0.000000
semimcfecmp	0	0.022210	0.000000
semimcfecmp	1	0.021712	0.000000
semimcfmcf	0	0.059519	0.000000
semimcfmcf	1	0.089439	0.000000
semimcfraeke	0	2.043466	0.000000
semimcfraeke	1	2.589442	0.000000
semimcfvlb	0	0.175246	0.000000
semimcfvlb	1	0.101912	0.000000
spf	0	0.005880	0.000000
spf	1	0.006546	0.000000
vlb	0	0.024541	0.000000
vlb	1	0.040357	0.000000

