#solver	iter	latency-throughput
		8. : 0.957707894573
raeke	3	
		1. : 0.200773467606
		2. : 0.257414774373
		3. : 0.457256130278
		4. : 0.688457320948
		5. : 0.782269567828
		6. : 0.83754605981
		7. : 0.921201343903
		8. : 0.957707894573
raeke	4	
		1. : 0.200773467606
		2. : 0.257414774373
		3. : 0.457256130278
		4. : 0.688457320948
		5. : 0.782269567828
		6. : 0.83754605981
		7. : 0.921201343903
		8. : 0.957707894573
raeke	5	
		1. : 0.200773467606
		2. : 0.257414774373
		3. : 0.457256130278
		4. : 0.688457320948
		5. : 0.782269567828
		6. : 0.83754605981
		7. : 0.921201343903
		8. : 0.957707894573
raeke	6	
		1. : 0.200773467606
		2. : 0.257414774373
		3. : 0.457256130278
		4. : 0.688457320948
		5. : 0.782269567828
		6. : 0.83754605981
		7. : 0.921201343903
		8. : 0.957707894573
raeke	7	
		1. : 0.200773467606
		2. : 0.257414774373
		3. : 0.457256130278
		4. : 0.688457320948
		5. : 0.782269567828
		6. : 0.83754605981
		7. : 0.921201343903
		8. : 0.957707894573
raeke	8	
		1. : 0.200773467606
		2. : 0.257414774373
		3. : 0.457256130278
		4. : 0.688457320948
		5. : 0.782269567828
		6. : 0.83754605981
		7. : 0.921201343903
		8. : 0.957707894573
raeke	9	
		1. : 0.200773467606
		2. : 0.257414774373
		3. : 0.457256130278
		4. : 0.688457320948
		5. : 0.782269567828
		6. : 0.83754605981
		7. : 0.921201343903
		8. : 0.957707894573
semimcfecmp	0	
		1. : 0.294444444444
		2. : 0.461111111111
		3. : 0.572222222222
		4. : 0.627777777778
semimcfecmp	1	
		1. : 0.294444444444
		2. : 0.461111111111
		3. : 0.572222222222
		4. : 0.627777777778
semimcfecmp	2	
		1. : 0.294416666667
		2. : 0.399111111111
		3. : 0.412444444444
		4. : 0.419388888889
semimcfecmp	3	
		1. : 0.294416666667
		2. : 0.399111111111
		3. : 0.412444444444
		4. : 0.419388888889
semimcfecmp	4	
		1. : 0.294416666667
		2. : 0.399111111111
		3. : 0.412444444444
		4. : 0.419388888889
semimcfecmp	5	
		1. : 0.294416666667
		2. : 0.399111111111
		3. : 0.412444444444
		4. : 0.419388888889
semimcfecmp	6	
		1. : 0.294416666667
		2. : 0.399111111111
		3. : 0.412444444444
		4. : 0.419388888889
semimcfecmp	7	
		1. : 0.294416666667
		2. : 0.399111111111
		3. : 0.412444444444
		4. : 0.419388888889
semimcfecmp	8	
		1. : 0.294416666667
		2. : 0.399111111111
		3. : 0.412444444444
		4. : 0.419388888889
semimcfecmp	9	
		1. : 0.294416666667
		2. : 0.399111111111
		3. : 0.412444444444
		4. : 0.419388888889
semimcfksp	0	
		1. : 0.1
		2. : 0.15
		3. : 0.55
		4. : 0.8
		5. : 0.9
		6. : 1.
semimcfksp	1	
		1. : 0.1
		2. : 0.15
		3. : 0.55
		4. : 0.8
		5. : 0.9
		6. : 1.
semimcfksp	2	
		1. : 0.1
		2. : 0.15
		3. : 0.450166666667
		4. : 0.637416666667
		5. : 0.767833333333
		6. : 0.86175
semimcfksp	3	
		1. : 0.1
		2. : 0.15
		3. : 0.450166666667
		4. : 0.637416666667
		5. : 0.767833333333
		6. : 0.86175
semimcfksp	4	
		1. : 0.1
		2. : 0.15
		3. : 0.450166666667
		4. : 0.637416666667
		5. : 0.767833333333
		6. : 0.86175
semimcfksp	5	
		1. : 0.1
		2. : 0.15
		3. : 0.450166666667
		4. : 0.637416666667
		5. : 0.767833333333
		6. : 0.86175
semimcfksp	6	
		1. : 0.1
		2. : 0.15
		3. : 0.450166666667
		4. : 0.637416666667
		5. : 0.767833333333
		6. : 0.86175
semimcfksp	7	
		1. : 0.1
		2. : 0.15
		3. : 0.450166666667
		4. : 0.637416666667
		5. : 0.767833333333
		6. : 0.86175
semimcfksp	8	
		1. : 0.1
		2. : 0.15
		3. : 0.450166666667
		4. : 0.637416666667
		5. : 0.767833333333
		6. : 0.86175
semimcfksp	9	
		1. : 0.1
		2. : 0.15
		3. : 0.450166666667
		4. : 0.637416666667
		5. : 0.767833333333
		6. : 0.86175
semimcfmcf	0	
		1. : 0.216666666667
		2. : 0.316666666667
		3. : 0.466666666667
		4. : 0.55
		5. : 0.666666666667
		6. : 0.783333333333
		7. : 0.9
		8. : 1.
semimcfmcf	1	
		1. : 0.216666666667
		2. : 0.316666666667
		3. : 0.466666666667
		4. : 0.55
		5. : 0.666666666667
		6. : 0.783333333333
		7. : 0.9
		8. : 1.
semimcfmcf	2	
		1. : 0.172166666667
		2. : 0.213333333333
		3. : 0.3485
		4. : 0.431833333333
		5. : 0.554583333333
		6. : 0.68325
		7. : 0.805833333333
		8. : 0.905833333333
semimcfmcf	3	
		1. : 0.172166666667
		2. : 0.213333333333
		3. : 0.3485
		4. : 0.431833333333
		5. : 0.554583333333
		6. : 0.68325
		7. : 0.805833333333
		8. : 0.905833333333
semimcfmcf	4	
		1. : 0.172166666667
		2. : 0.213333333333
		3. : 0.3485
		4. : 0.431833333333
		5. : 0.554583333333
		6. : 0.68325
		7. : 0.805833333333
		8. : 0.905833333333
semimcfmcf	5	
		1. : 0.172166666667
		2. : 0.213333333333
		3. : 0.3485
		4. : 0.431833333333
		5. : 0.554583333333
		6. : 0.68325
		7. : 0.805833333333
		8. : 0.905833333333
semimcfmcf	6	
		1. : 0.172166666667
		2. : 0.213333333333
		3. : 0.3485
		4. : 0.431833333333
		5. : 0.554583333333
		6. : 0.68325
		7. : 0.805833333333
		8. : 0.905833333333
semimcfmcf	7	
		1. : 0.172166666667
		2. : 0.213333333333
		3. : 0.3485
		4. : 0.431833333333
		5. : 0.554583333333
		6. : 0.68325
		7. : 0.805833333333
		8. : 0.905833333333
semimcfmcf	8	
		1. : 0.172166666667
		2. : 0.213333333333
		3. : 0.3485
		4. : 0.431833333333
		5. : 0.554583333333
		6. : 0.68325
		7. : 0.805833333333
		8. : 0.905833333333
semimcfmcf	9	
		1. : 0.172166666667
		2. : 0.213333333333
		3. : 0.3485
		4. : 0.431833333333
		5. : 0.554583333333
		6. : 0.68325
		7. : 0.805833333333
		8. : 0.905833333333
semimcfraeke	0	
		1. : 0.35
		2. : 0.416666666667
		3. : 0.433333333333
		4. : 0.483333333333
		5. : 0.55
		6. : 0.7
		7. : 0.833333333333
		8. : 0.933333333333
		9. : 0.95
		10. : 0.966666666667
		11. : 0.983333333333
		12. : 1.
		13. : 1.
		14. : 1.
semimcfraeke	1	
		1. : 0.35
		2. : 0.416666666667
		3. : 0.433333333333
		4. : 0.483333333333
		5. : 0.55
		6. : 0.7
		7. : 0.833333333333
		8. : 0.933333333333
		9. : 0.95
		10. : 0.966666666667
		11. : 0.983333333333
		12. : 1.
		13. : 1.
		14. : 1.
semimcfraeke	2	
		1. : 0.261
		2. : 0.298333333333
		3. : 0.315
		4. : 0.377333333333
		5. : 0.444
		6. : 0.6
		7. : 0.768833333333
		8. : 0.868833333333
		9. : 0.92
		10. : 0.942333333333
		11. : 0.959
		12. : 0.975666666667
		13. : 0.975666666667
		14. : 0.975666666667
semimcfraeke	3	
		1. : 0.261
		2. : 0.298333333333
		3. : 0.315
		4. : 0.377333333333
		5. : 0.444
		6. : 0.6
		7. : 0.768833333333
		8. : 0.868833333333
		9. : 0.92
		10. : 0.942333333333
		11. : 0.959
		12. : 0.975666666667
		13. : 0.975666666667
		14. : 0.975666666667
semimcfraeke	4	
		1. : 0.261
		2. : 0.298333333333
		3. : 0.315
		4. : 0.377333333333
		5. : 0.444
		6. : 0.6
		7. : 0.768833333333
		8. : 0.868833333333
		9. : 0.92
		10. : 0.942333333333
		11. : 0.959
		12. : 0.975666666667
		13. : 0.975666666667
		14. : 0.975666666667
semimcfraeke	5	
		1. : 0.261
		2. : 0.298333333333
		3. : 0.315
		4. : 0.377333333333
		5. : 0.444
		6. : 0.6
		7. : 0.768833333333
		8. : 0.868833333333
		9. : 0.92
		10. : 0.942333333333
		11. : 0.959
		12. : 0.975666666667
		13. : 0.975666666667
		14. : 0.975666666667
semimcfraeke	6	
		1. : 0.261
		2. : 0.298333333333
		3. : 0.315
		4. : 0.377333333333
		5. : 0.444
		6. : 0.6
		7. : 0.768833333333
		8. : 0.868833333333
		9. : 0.92
		10. : 0.942333333333
		11. : 0.959
		12. : 0.975666666667
		13. : 0.975666666667
		14. : 0.975666666667
semimcfraeke	7	
		1. : 0.261
		2. : 0.298333333333
		3. : 0.315
		4. : 0.377333333333
		5. : 0.444
		6. : 0.6
		7. : 0.768833333333
		8. : 0.868833333333
		9. : 0.92
