#solver	iter	latency-throughput
		3. : 0.522059401348
		4. : 0.644415952661
		5. : 0.710462036158
		6. : 0.729844533497
		7. : 0.731501149511
		9. : 0.731516655736
raeke	6	
		1. : 0.17659493792
		2. : 0.338005918188
		3. : 0.526078191394
		4. : 0.651146125238
		5. : 0.714976366064
		6. : 0.733575528104
		7. : 0.735180930056
		9. : 0.73519837118
raeke	7	
		1. : 0.175305827379
		2. : 0.332443473589
		3. : 0.521294267448
		4. : 0.645886019512
		5. : 0.711234241401
		6. : 0.730541184128
		7. : 0.732193116184
		9. : 0.73220608511
raeke	8	
		1. : 0.173341872915
		2. : 0.332499648893
		3. : 0.525976052021
		4. : 0.651984491264
		5. : 0.714694232725
		6. : 0.733756230849
		7. : 0.735466474666
		9. : 0.735476875364
raeke	9	
		1. : 0.177825306698
		2. : 0.331384110668
		3. : 0.512091414969
		4. : 0.636690478995
		5. : 0.703145390446
		6. : 0.723594501143
		7. : 0.725232985089
		9. : 0.725243256261
semimcfecmp	0	
		1. : 0.273570149543
		2. : 0.613609499418
		3. : 0.81092620977
		4. : 0.956517226375
		5. : 1.
semimcfecmp	1	
		1. : 0.270868530688
		2. : 0.606176920707
		3. : 0.801516574825
		4. : 0.95144250059
		5. : 0.999830325014
semimcfecmp	2	
		1. : 0.225446459961
		2. : 0.461092663827
		3. : 0.569744694565
		4. : 0.647988286203
		5. : 0.674105444438
semimcfecmp	3	
		1. : 0.229918779481
		2. : 0.466993199097
		3. : 0.56874569993
		4. : 0.647787806204
		5. : 0.674573987801
semimcfecmp	4	
		1. : 0.230040750372
		2. : 0.471999235228
		3. : 0.576005694322
		4. : 0.656289474387
		5. : 0.683006448369
semimcfecmp	5	
		1. : 0.230435538112
		2. : 0.470040636989
		3. : 0.580900405686
		4. : 0.656722505478
		5. : 0.682880901872
semimcfecmp	6	
		1. : 0.229842201998
		2. : 0.475530276148
		3. : 0.591758701088
		4. : 0.669121895278
		5. : 0.693238192387
semimcfecmp	7	
		1. : 0.230672638145
		2. : 0.47252984508
		3. : 0.587655466065
		4. : 0.66558640911
		5. : 0.690447399484
semimcfecmp	8	
		1. : 0.228226364964
		2. : 0.468950797206
		3. : 0.58774964114
		4. : 0.664937513825
		5. : 0.688682588466
semimcfecmp	9	
		1. : 0.232189218889
		2. : 0.472334746259
		3. : 0.580118673669
		4. : 0.659728605528
		5. : 0.687380382092
semimcfksp	0	
		1. : 0.184077987048
		2. : 0.437471165195
		3. : 0.629342298124
		4. : 0.841028451229
		5. : 0.983716713665
		6. : 1.
		7. : 1.
semimcfksp	1	
		1. : 0.231765281031
		2. : 0.473670985859
		3. : 0.678793162845
		4. : 0.893248917755
		5. : 0.98903650325
		6. : 0.99934804196
		7. : 1.
semimcfksp	2	
		1. : 0.162321363224
		2. : 0.323124212575
		3. : 0.457905476533
		4. : 0.603503678513
		5. : 0.693798853085
		6. : 0.704576341161
		7. : 0.704576341161
semimcfksp	3	
		1. : 0.173325077003
		2. : 0.340095957095
		3. : 0.459841487373
		4. : 0.593531837075
		5. : 0.687593211819
		6. : 0.696666377148
		7. : 0.696666377148
semimcfksp	4	
		1. : 0.178000607515
		2. : 0.342627415367
		3. : 0.458708570189
		4. : 0.605209402297
		5. : 0.696944047489
		6. : 0.705263595555
		7. : 0.705263595555
semimcfksp	5	
		1. : 0.160263859113
		2. : 0.320063487097
		3. : 0.457157949429
		4. : 0.591933313368
		5. : 0.70042524421
		6. : 0.708933519259
		7. : 0.708933519259
semimcfksp	6	
		1. : 0.180299091312
		2. : 0.371172037323
		3. : 0.489520981874
		4. : 0.60246392875
		5. : 0.686773772343
		6. : 0.704440186351
		7. : 0.704440186351
semimcfksp	7	
		1. : 0.193607144224
		2. : 0.352932032109
		3. : 0.48039197909
		4. : 0.61891513793
		5. : 0.709144902905
		6. : 0.717484474941
		7. : 0.718258535412
semimcfksp	8	
		1. : 0.191023639216
		2. : 0.361308885457
		3. : 0.507466445421
		4. : 0.601650578772
		5. : 0.698729554718
		6. : 0.705087986749
		7. : 0.705489324978
semimcfksp	9	
		1. : 0.167115874124
		2. : 0.33343986379
		3. : 0.459897226754
		4. : 0.61859234879
		5. : 0.702522960625
		6. : 0.709635665219
		7. : 0.709635665219
semimcfmcf	0	
		1. : 0.250237394853
		2. : 0.436677134587
		3. : 0.554312018174
		4. : 0.612459043798
		5. : 0.713569902633
		6. : 0.854354611472
		7. : 0.953645705578
		8. : 1.
semimcfmcf	1	
		1. : 0.248107739035
		2. : 0.439218323263
		3. : 0.549133799819
		4. : 0.607629635331
		5. : 0.708195097838
		6. : 0.85041470842
		7. : 0.950916174552
		8. : 1.
semimcfmcf	2	
		1. : 0.203166525707
		2. : 0.314060548571
		3. : 0.396287260629
		4. : 0.447064063029
		5. : 0.517930546592
		6. : 0.644179877087
		7. : 0.677925204483
		8. : 0.683846262308
semimcfmcf	3	
		1. : 0.209510100119
		2. : 0.330198800577
		3. : 0.400456759366
		4. : 0.4496240842
		5. : 0.519947281659
		6. : 0.634432482617
		7. : 0.666605006566
		8. : 0.67258196564
semimcfmcf	4	
		1. : 0.208752059068
		2. : 0.332229479814
		3. : 0.404267697106
		4. : 0.454633946014
		5. : 0.525479870288
		6. : 0.640708668969
		7. : 0.673989484591
		8. : 0.679823520761
semimcfmcf	5	
		1. : 0.209047465991
		2. : 0.325655454437
		3. : 0.405610672514
		4. : 0.456188036852
		5. : 0.52500049925
		6. : 0.646322490698
		7. : 0.681116669178
		8. : 0.686894251512
semimcfmcf	6	
		1. : 0.206508133273
		2. : 0.327723768916
		3. : 0.412057336696
		4. : 0.463337231188
		5. : 0.547861115206
		6. : 0.660494093759
		7. : 0.695153392368
		8. : 0.70100433086
semimcfmcf	7	
		1. : 0.209329501932
		2. : 0.32487050752
		3. : 0.40928046957
		4. : 0.461604488582
		5. : 0.535034002755
		6. : 0.654687645712
		7. : 0.689001573568
		8. : 0.695048231448
semimcfmcf	8	
		1. : 0.209607909439
		2. : 0.321959572503
		3. : 0.411171991863
		4. : 0.464085141681
		5. : 0.535288042926
		6. : 0.66635305887
		7. : 0.699375860852
		8. : 0.704963001918
semimcfmcf	9	
		1. : 0.213840594855
		2. : 0.325921032828
		3. : 0.402652305828
		4. : 0.455290026903
		5. : 0.523192913953
		6. : 0.646278624593
		7. : 0.678400738604
		8. : 0.684081391324
semimcfraeke	0	
		1. : 0.218228475401
		2. : 0.472252142128
		3. : 0.699669176855
		4. : 0.859646320447
		5. : 0.937991402752
		6. : 1.
		7. : 1.
		10. : 1.
semimcfraeke	1	
		1. : 0.20112693536
		2. : 0.431162255604
		3. : 0.648858677616
		4. : 0.895141315875
		5. : 0.963284763832
		6. : 0.996087200973
		7. : 1.
		10. : 1.
semimcfraeke	2	
		1. : 0.184308719732
		2. : 0.409076673364
		3. : 0.521473653613
		4. : 0.648491958484
		5. : 0.708914103456
		6. : 0.737684249032
		7. : 0.737684249032
		10. : 0.737684249032
semimcfraeke	3	
		1. : 0.181478347978
		2. : 0.355183617215
		3. : 0.475248198668
		4. : 0.599374046559
		5. : 0.652272032341
		6. : 0.694284717623
		7. : 0.694284717623
		10. : 0.694284717623
semimcfraeke	4	
		1. : 0.203072987467
		2. : 0.384416693028
		3. : 0.525404301411
		4. : 0.629340985699
		5. : 0.671392263819
		6. : 0.700118773341
		7. : 0.700118773341
		10. : 0.700118773341
semimcfraeke	5	
		1. : 0.216659642121
		2. : 0.434665456507
		3. : 0.57610860575
		4. : 0.667196530666
		5. : 0.73568686695
		6. : 0.749874726519
		7. : 0.749874726519
		10. : 0.749874726519
semimcfraeke	6	
		1. : 0.20843896619
		2. : 0.425049026731
		3. : 0.540186123598
		4. : 0.648468291651
		5. : 0.732875270313
		6. : 0.736261519005
		7. : 0.736395571525
		10. : 0.736395571525
semimcfraeke	7	
		1. : 0.213997877984
		2. : 0.453962875782
		3. : 0.579771358135
		4. : 0.681331317916
		5. : 0.745304056155
		6. : 0.762378877128
		7. : 0.76253312485
		10. : 0.76253312485
semimcfraeke	8	
		1. : 0.22124403773
		2. : 0.452488936656
		3. : 0.561559320374
		4. : 0.664283098746
		5. : 0.738711969096
		6. : 0.763691216538
		7. : 0.763898047784
		10. : 0.763898047784
semimcfraeke	9	
		1. : 0.211335057805
		2. : 0.43479954907
		3. : 0.548891531704
		4. : 0.669536815614
		5. : 0.735537805756
		6. : 0.760652985441
		7. : 0.760652985441
		10. : 0.760652985441
semimcfvlb	0	
		1. : 0.195269500236
		2. : 0.467011585457
		3. : 0.634716263235
		4. : 0.84123963476
		5. : 0.963610845266
		6. : 0.992385033334
		7. : 0.999480791058
		8. : 1.
		9. : 1.
semimcfvlb	1	
		1. : 0.233411076222
		2. : 0.476259319982
		3. : 0.638842919678
		4. : 0.822646391336
		5. : 0.959729214348
		6. : 0.991308035675
		7. : 1.
		8. : 1.
		9. : 1.
semimcfvlb	2	
		1. : 0.177566917797
		2. : 0.366558456507
		3. : 0.49655252265
		4. : 0.616430709402
		5. : 0.685747701353
		6. : 0.717386746284
		7. : 0.72603823723
		8. : 0.726622140345
		9. : 0.729049761906
semimcfvlb	3	
		1. : 0.192388244402
		2. : 0.385114978019
		3. : 0.506631473145
		4. : 0.616714921199
		5. : 0.678935494342
		6. : 0.71047362282
		7. : 0.719156122321
		8. : 0.719521757707
		9. : 0.722171586988
semimcfvlb	4	
		1. : 0.182222018305
		2. : 0.363044937528
		3. : 0.457009278602
		4. : 0.599389050581
		5. : 0.693804268678
		6. : 0.72028584058
		7. : 0.726893132648
		8. : 0.727264751906
		9. : 0.727264751906
semimcfvlb	5	
		1. : 0.181871202171
		2. : 0.361499181947
		3. : 0.460396653226
		4. : 0.6081767471
		5. : 0.696582735921
		6. : 0.723142946801
		7. : 0.728741086939
		8. : 0.729040691947
		9. : 0.729040691947
semimcfvlb	6	
		1. : 0.184494777252
		2. : 0.38484088947
		3. : 0.484900605138
		4. : 0.575535934129
		5. : 0.700403975185
		6. : 0.713857020694
		7. : 0.715156457043
		8. : 0.715156457043
		9. : 0.716002341749
semimcfvlb	7	
		1. : 0.177372284514
		2. : 0.341213230841
		3. : 0.454721444541
		4. : 0.633683042654
		5. : 0.69479767792
		6. : 0.725348811396
		7. : 0.731555486402
		8. : 0.731555486402
		9. : 0.733583588838
semimcfvlb	8	
		1. : 0.181996565121
		2. : 0.360118003898
		3. : 0.503407609216
		4. : 0.63005246408
		5. : 0.679497917489
		6. : 0.692378463011
		7. : 0.697428914446
		8. : 0.717956047426
		9. : 0.718856091643
semimcfvlb	9	
		1. : 0.190710007894
		2. : 0.38341695519
		3. : 0.503113851618
		4. : 0.643495001851
		5. : 0.703728000303
		6. : 0.731594356872
		7. : 0.737747245134
		8. : 0.738013157112
