# solver	iter	mean-exp-congestion	stddev
spf	0	0.108023	0.000000
spf	1	0.105630	0.000000
spf	2	0.110882	0.000000
spf	3	0.108012	0.000000
spf	4	0.105043	0.000000
spf	5	0.105490	0.000000
spf	6	0.108351	0.000000
spf	7	0.107051	0.000000
spf	8	0.108284	0.000000
spf	9	0.103550	0.000000
spf	10	0.101364	0.000000
spf	11	0.103694	0.000000
spf	12	0.105649	0.000000
spf	13	0.108842	0.000000
spf	14	0.109665	0.000000
spf	15	0.109566	0.000000
spf	16	0.109726	0.000000
spf	17	0.113597	0.000000
spf	18	0.110831	0.000000
spf	19	0.105169	0.000000
spf	20	0.111265	0.000000
spf	21	0.109458	0.000000
spf	22	0.109495	0.000000
spf	23	0.105507	0.000000
spf	24	0.106074	0.000000
spf	25	0.108908	0.000000
spf	26	0.111474	0.000000
spf	27	0.111656	0.000000
spf	28	0.112759	0.000000
spf	29	0.108737	0.000000
spf	30	0.113762	0.000000
spf	31	0.115278	0.000000
spf	32	0.121222	0.000000
spf	33	0.118274	0.000000
spf	34	0.116167	0.000000
spf	35	0.111698	0.000000

