# solver	iter	max-congestion	stddev
akraeke	32	0.008089	0.000000
akraeke	33	0.007342	0.000000
akraeke	34	0.008279	0.000000
akraeke	35	0.008296	0.000000
akraeke	36	0.008052	0.000000
akraeke	37	0.008159	0.000000
akraeke	38	0.008379	0.000000
akraeke	39	0.008377	0.000000
akraeke	40	0.009002	0.000000
akraeke	41	0.008734	0.000000
akraeke	42	0.008793	0.000000
akraeke	43	0.008998	0.000000
akraeke	44	0.009613	0.000000
akraeke	45	0.009581	0.000000
akraeke	46	0.010190	0.000000
akraeke	47	0.009596	0.000000
akraeke	48	0.009019	0.000000
akraeke	49	0.009241	0.000000
akraeke	50	0.009712	0.000000
akraeke	51	0.010156	0.000000
akraeke	52	0.011161	0.000000
akraeke	53	0.010562	0.000000
akraeke	54	0.009582	0.000000
akraeke	55	0.010139	0.000000
akraeke	56	0.011069	0.000000
akraeke	57	0.011249	0.000000
akraeke	58	0.011375	0.000000
akraeke	59	0.011443	0.000000
akraeke	60	0.011085	0.000000
akraeke	61	0.011075	0.000000
akraeke	62	0.011281	0.000000
akraeke	63	0.011210	0.000000
akraeke	64	0.011547	0.000000
akraeke	65	0.011254	0.000000
akraeke	66	0.011179	0.000000
akraeke	67	0.011593	0.000000
akraeke	68	0.011345	0.000000
akraeke	69	0.010912	0.000000
akraeke	70	0.011448	0.000000
akraeke	71	0.011826	0.000000
akraeke	72	0.011444	0.000000
akraeke	73	0.011767	0.000000
akraeke	74	0.011670	0.000000
akraeke	75	0.011154	0.000000
akraeke	76	0.011746	0.000000
akraeke	77	0.011979	0.000000
akraeke	78	0.010407	0.000000
akraeke	79	0.010884	0.000000
akraeke	80	0.011346	0.000000
akraeke	81	0.011701	0.000000
akraeke	82	0.011965	0.000000
akraeke	83	0.011458	0.000000
akraeke	84	0.010657	0.000000
akraeke	85	0.011311	0.000000
akraeke	86	0.011940	0.000000
akraeke	87	0.011614	0.000000
akraeke	88	0.012422	0.000000
akraeke	89	0.012008	0.000000
akraeke	90	0.011786	0.000000
akraeke	91	0.012234	0.000000
akraeke	92	0.011872	0.000000
akraeke	93	0.011437	0.000000
akraeke	94	0.011818	0.000000
akraeke	95	0.011868	0.000000
akraeke	96	0.011435	0.000000
akraeke	97	0.012120	0.000000
akraeke	98	0.012119	0.000000
akraeke	99	0.012608	0.000000
akvlb	0	0.008820	0.000000
akvlb	1	0.008924	0.000000
akvlb	2	0.009693	0.000000
akvlb	3	0.009041	0.000000
akvlb	4	0.009930	0.000000
akvlb	5	0.009587	0.000000
akvlb	6	0.008229	0.000000
akvlb	7	0.008048	0.000000
akvlb	8	0.008997	0.000000
akvlb	9	0.009157	0.000000
akvlb	10	0.009739	0.000000
akvlb	11	0.008996	0.000000
akvlb	12	0.008500	0.000000
akvlb	13	0.008733	0.000000
akvlb	14	0.008801	0.000000
akvlb	15	0.008891	0.000000
akvlb	16	0.009360	0.000000
akvlb	17	0.008704	0.000000
akvlb	18	0.008414	0.000000
akvlb	19	0.008663	0.000000
akvlb	20	0.009330	0.000000
akvlb	21	0.009066	0.000000
akvlb	22	0.009332	0.000000
akvlb	23	0.009020	0.000000
akvlb	24	0.008913	0.000000
akvlb	25	0.009167	0.000000
akvlb	26	0.008709	0.000000
akvlb	27	0.008474	0.000000
akvlb	28	0.009363	0.000000
akvlb	29	0.008944	0.000000
akvlb	30	0.008521	0.000000
akvlb	31	0.008661	0.000000
akvlb	32	0.009368	0.000000
akvlb	33	0.008500	0.000000
akvlb	34	0.009588	0.000000
akvlb	35	0.009607	0.000000
akvlb	36	0.009326	0.000000
akvlb	37	0.009470	0.000000
akvlb	38	0.009719	0.000000
akvlb	39	0.009718	0.000000
akvlb	40	0.010449	0.000000
akvlb	41	0.010177	0.000000
akvlb	42	0.010246	0.000000
akvlb	43	0.010491	0.000000
akvlb	44	0.011206	0.000000
akvlb	45	0.011121	0.000000
akvlb	46	0.011832	0.000000
akvlb	47	0.011128	0.000000
akvlb	48	0.010459	0.000000
akvlb	49	0.010725	0.000000
akvlb	50	0.011253	0.000000
akvlb	51	0.011765	0.000000
akvlb	52	0.012920	0.000000
akvlb	53	0.012228	0.000000
akvlb	54	0.011098	0.000000
akvlb	55	0.011738	0.000000
akvlb	56	0.012819	0.000000
akvlb	57	0.013005	0.000000
akvlb	58	0.013211	0.000000
akvlb	59	0.013300	0.000000
akvlb	60	0.012864	0.000000
akvlb	61	0.012849	0.000000
akvlb	62	0.013091	0.000000
akvlb	63	0.013003	0.000000
akvlb	64	0.013385	0.000000
akvlb	65	0.013041	0.000000
akvlb	66	0.012961	0.000000
akvlb	67	0.013438	0.000000
akvlb	68	0.013152	0.000000
akvlb	69	0.012646	0.000000
akvlb	70	0.013263	0.000000
akvlb	71	0.013702	0.000000
akvlb	72	0.013268	0.000000
akvlb	73	0.013636	0.000000
akvlb	74	0.013524	0.000000
akvlb	75	0.012935	0.000000
akvlb	76	0.013614	0.000000
akvlb	77	0.013872	0.000000
akvlb	78	0.012060	0.000000
akvlb	79	0.012607	0.000000
akvlb	80	0.013160	0.000000
akvlb	81	0.013579	0.000000
akvlb	82	0.013876	0.000000
akvlb	83	0.013283	0.000000
akvlb	84	0.012359	0.000000
akvlb	85	0.013143	0.000000
akvlb	86	0.013874	0.000000
akvlb	87	0.013489	0.000000
akvlb	88	0.014432	0.000000
akvlb	89	0.013943	0.000000
akvlb	90	0.013691	0.000000
akvlb	91	0.014188	0.000000
akvlb	92	0.013812	0.000000
akvlb	93	0.013317	0.000000
akvlb	94	0.013754	0.000000
akvlb	95	0.013765	0.000000
akvlb	96	0.013258	0.000000
akvlb	97	0.014047	0.000000
akvlb	98	0.014047	0.000000
akvlb	99	0.014626	0.000000
ecmp	0	0.006741	0.000000
ecmp	1	0.006835	0.000000
ecmp	2	0.007440	0.000000
ecmp	3	0.006941	0.000000
ecmp	4	0.007740	0.000000
ecmp	5	0.007444	0.000000
ecmp	6	0.006366	0.000000
ecmp	7	0.006202	0.000000
ecmp	8	0.006913	0.000000
ecmp	9	0.007079	0.000000
ecmp	10	0.007542	0.000000
ecmp	11	0.006987	0.000000
ecmp	12	0.006586	0.000000
ecmp	13	0.006769	0.000000
ecmp	14	0.006857	0.000000
ecmp	15	0.006911	0.000000
ecmp	16	0.007240	0.000000
ecmp	17	0.006729	0.000000
ecmp	18	0.006509	0.000000
ecmp	19	0.006687	0.000000
ecmp	20	0.007199	0.000000
ecmp	21	0.007020	0.000000
ecmp	22	0.007173	0.000000
ecmp	23	0.006943	0.000000
ecmp	24	0.006853	0.000000
ecmp	25	0.007056	0.000000
ecmp	26	0.006695	0.000000
ecmp	27	0.006486	0.000000
ecmp	28	0.007189	0.000000
ecmp	29	0.006898	0.000000
ecmp	30	0.006455	0.000000
ecmp	31	0.006628	0.000000
ecmp	32	0.007153	0.000000
ecmp	33	0.006490	0.000000
ecmp	34	0.007302	0.000000
ecmp	35	0.007346	0.000000
ecmp	36	0.007133	0.000000
ecmp	37	0.007215	0.000000
ecmp	38	0.007432	0.000000
ecmp	39	0.007432	0.000000
ecmp	40	0.007953	0.000000
ecmp	41	0.007769	0.000000
