# solver	iter	.0.300000-congestion	stddev
akmcf	63	0.004605	0.000000
akmcf	64	0.004791	0.000000
akmcf	65	0.004663	0.000000
akmcf	66	0.004637	0.000000
akmcf	67	0.004815	0.000000
akmcf	68	0.004730	0.000000
akmcf	69	0.004510	0.000000
akmcf	70	0.004754	0.000000
akmcf	71	0.004914	0.000000
akmcf	72	0.004696	0.000000
akmcf	73	0.004895	0.000000
akmcf	74	0.004855	0.000000
akmcf	75	0.004610	0.000000
akmcf	76	0.004841	0.000000
akmcf	77	0.004941	0.000000
akmcf	78	0.004286	0.000000
akmcf	79	0.004474	0.000000
akmcf	80	0.004690	0.000000
akmcf	81	0.004861	0.000000
akmcf	82	0.004976	0.000000
akmcf	83	0.004767	0.000000
akmcf	84	0.004435	0.000000
akmcf	85	0.004675	0.000000
akmcf	86	0.004932	0.000000
akmcf	87	0.004801	0.000000
akmcf	88	0.005097	0.000000
akmcf	89	0.004924	0.000000
akmcf	90	0.004853	0.000000
akmcf	91	0.004998	0.000000
akmcf	92	0.004884	0.000000
akmcf	93	0.004744	0.000000
akmcf	94	0.004915	0.000000
akmcf	95	0.004920	0.000000
akmcf	96	0.004708	0.000000
akmcf	97	0.005067	0.000000
akmcf	98	0.005047	0.000000
akmcf	99	0.005278	0.000000
akraeke	0	0.004354	0.000000
akraeke	1	0.004408	0.000000
akraeke	2	0.004784	0.000000
akraeke	3	0.004456	0.000000
akraeke	4	0.004829	0.000000
akraeke	5	0.004735	0.000000
akraeke	6	0.004071	0.000000
akraeke	7	0.003978	0.000000
akraeke	8	0.004458	0.000000
akraeke	9	0.004467	0.000000
akraeke	10	0.004749	0.000000
akraeke	11	0.004388	0.000000
akraeke	12	0.004138	0.000000
akraeke	13	0.004265	0.000000
akraeke	14	0.004309	0.000000
akraeke	15	0.004355	0.000000
akraeke	16	0.004610	0.000000
akraeke	17	0.004288	0.000000
akraeke	18	0.004138	0.000000
akraeke	19	0.004284	0.000000
akraeke	20	0.004614	0.000000
akraeke	21	0.004474	0.000000
akraeke	22	0.004633	0.000000
akraeke	23	0.004455	0.000000
akraeke	24	0.004394	0.000000
akraeke	25	0.004518	0.000000
akraeke	26	0.004297	0.000000
akraeke	27	0.004222	0.000000
akraeke	28	0.004631	0.000000
akraeke	29	0.004428	0.000000
akraeke	30	0.004260	0.000000
akraeke	31	0.004301	0.000000
akraeke	32	0.004676	0.000000
akraeke	33	0.004244	0.000000
akraeke	34	0.004787	0.000000
akraeke	35	0.004784	0.000000
akraeke	36	0.004640	0.000000
akraeke	37	0.004702	0.000000
akraeke	38	0.004825	0.000000
akraeke	39	0.004828	0.000000
akraeke	40	0.005188	0.000000
akraeke	41	0.005020	0.000000
akraeke	42	0.005064	0.000000
akraeke	43	0.005193	0.000000
akraeke	44	0.005552	0.000000
akraeke	45	0.005572	0.000000
akraeke	46	0.005920	0.000000
akraeke	47	0.005577	0.000000
akraeke	48	0.005249	0.000000
akraeke	49	0.005378	0.000000
akraeke	50	0.005664	0.000000
akraeke	51	0.005940	0.000000
akraeke	52	0.006490	0.000000
akraeke	53	0.006135	0.000000
akraeke	54	0.005570	0.000000
akraeke	55	0.005890	0.000000
akraeke	56	0.006433	0.000000
akraeke	57	0.006517	0.000000
akraeke	58	0.006582	0.000000
akraeke	59	0.006573	0.000000
akraeke	60	0.006363	0.000000
akraeke	61	0.006357	0.000000
akraeke	62	0.006469	0.000000
akraeke	63	0.006424	0.000000
akraeke	64	0.006669	0.000000
akraeke	65	0.006502	0.000000
akraeke	66	0.006458	0.000000
akraeke	67	0.006707	0.000000
akraeke	68	0.006519	0.000000
akraeke	69	0.006278	0.000000
akraeke	70	0.006527	0.000000
akraeke	71	0.006736	0.000000
akraeke	72	0.006604	0.000000
akraeke	73	0.006732	0.000000
akraeke	74	0.006677	0.000000
akraeke	75	0.006449	0.000000
akraeke	76	0.006792	0.000000
akraeke	77	0.006959	0.000000
akraeke	78	0.006020	0.000000
akraeke	79	0.006294	0.000000
akraeke	80	0.006565	0.000000
akraeke	81	0.006767	0.000000
akraeke	82	0.006865	0.000000
akraeke	83	0.006568	0.000000
akraeke	84	0.006114	0.000000
akraeke	85	0.006482	0.000000
akraeke	86	0.006808	0.000000
akraeke	87	0.006624	0.000000
akraeke	88	0.007123	0.000000
akraeke	89	0.006892	0.000000
akraeke	90	0.006773	0.000000
akraeke	91	0.007037	0.000000
akraeke	92	0.006793	0.000000
akraeke	93	0.006559	0.000000
akraeke	94	0.006781	0.000000
akraeke	95	0.006818	0.000000
akraeke	96	0.006552	0.000000
akraeke	97	0.006955	0.000000
akraeke	98	0.006960	0.000000
akraeke	99	0.007243	0.000000
akvlb	0	0.004570	0.000000
akvlb	1	0.004617	0.000000
akvlb	2	0.004998	0.000000
akvlb	3	0.004661	0.000000
akvlb	4	0.005123	0.000000
akvlb	5	0.005049	0.000000
akvlb	6	0.004340	0.000000
akvlb	7	0.004246	0.000000
akvlb	8	0.004746	0.000000
akvlb	9	0.004723	0.000000
akvlb	10	0.005047	0.000000
akvlb	11	0.004643	0.000000
akvlb	12	0.004362	0.000000
akvlb	13	0.004514	0.000000
akvlb	14	0.004544	0.000000
akvlb	15	0.004605	0.000000
akvlb	16	0.004874	0.000000
akvlb	17	0.004539	0.000000
akvlb	18	0.004383	0.000000
akvlb	19	0.004550	0.000000
akvlb	20	0.004899	0.000000
akvlb	21	0.004766	0.000000
akvlb	22	0.004939	0.000000
akvlb	23	0.004769	0.000000
akvlb	24	0.004721	0.000000
akvlb	25	0.004830	0.000000
akvlb	26	0.004588	0.000000
akvlb	27	0.004484	0.000000
akvlb	28	0.004919	0.000000
akvlb	29	0.004707	0.000000
akvlb	30	0.004464	0.000000
akvlb	31	0.004548	0.000000
akvlb	32	0.004953	0.000000
akvlb	33	0.004499	0.000000
akvlb	34	0.005021	0.000000
akvlb	35	0.005045	0.000000
akvlb	36	0.004898	0.000000
akvlb	37	0.004930	0.000000
akvlb	38	0.005048	0.000000
akvlb	39	0.005037	0.000000
akvlb	40	0.005450	0.000000
akvlb	41	0.005297	0.000000
akvlb	42	0.005282	0.000000
akvlb	43	0.005422	0.000000
akvlb	44	0.005789	0.000000
akvlb	45	0.005807	0.000000
akvlb	46	0.006207	0.000000
akvlb	47	0.005823	0.000000
akvlb	48	0.005458	0.000000
akvlb	49	0.005624	0.000000
akvlb	50	0.005931	0.000000
akvlb	51	0.006188	0.000000
akvlb	52	0.006811	0.000000
akvlb	53	0.006447	0.000000
akvlb	54	0.005891	0.000000
akvlb	55	0.006224	0.000000
akvlb	56	0.006796	0.000000
akvlb	57	0.006868	0.000000
akvlb	58	0.006973	0.000000
akvlb	59	0.007007	0.000000
akvlb	60	0.006789	0.000000
akvlb	61	0.006789	0.000000
akvlb	62	0.006922	0.000000
akvlb	63	0.006861	0.000000
akvlb	64	0.007005	0.000000
akvlb	65	0.006828	0.000000
akvlb	66	0.006785	0.000000
akvlb	67	0.007044	0.000000
akvlb	68	0.006892	0.000000
akvlb	69	0.006705	0.000000
akvlb	70	0.007047	0.000000
akvlb	71	0.007263	0.000000
akvlb	72	0.007026	0.000000
akvlb	73	0.007224	0.000000
akvlb	74	0.007165	0.000000
akvlb	75	0.006837	0.000000
akvlb	76	0.007196	0.000000
akvlb	77	0.007306	0.000000
akvlb	78	0.006363	0.000000
akvlb	79	0.006643	0.000000
akvlb	80	0.006956	0.000000
akvlb	81	0.007166	0.000000
akvlb	82	0.007364	0.000000
akvlb	83	0.007048	0.000000
akvlb	84	0.006547	0.000000
akvlb	85	0.006960	0.000000
akvlb	86	0.007264	0.000000
akvlb	87	0.007065	0.000000
akvlb	88	0.007601	0.000000
akvlb	89	0.007328	0.000000
akvlb	90	0.007197	0.000000
akvlb	91	0.007454	0.000000
akvlb	92	0.007175	0.000000
akvlb	93	0.006898	0.000000
akvlb	94	0.007132	0.000000
akvlb	95	0.007126	0.000000
akvlb	96	0.006901	0.000000
akvlb	97	0.007285	0.000000
akvlb	98	0.007276	0.000000
akvlb	99	0.007602	0.000000
ecmp	0	0.002972	0.000000
ecmp	1	0.002999	0.000000
ecmp	2	0.003245	0.000000
ecmp	3	0.003030	0.000000
ecmp	4	0.003365	0.000000
ecmp	5	0.003245	0.000000
ecmp	6	0.002801	0.000000
ecmp	7	0.002783	0.000000
ecmp	8	0.003089	0.000000
ecmp	9	0.003109	0.000000
ecmp	10	0.003291	0.000000
ecmp	11	0.003029	0.000000
ecmp	12	0.002867	0.000000
ecmp	13	0.002963	0.000000
ecmp	14	0.002968	0.000000
ecmp	15	0.003001	0.000000
ecmp	16	0.003174	0.000000
ecmp	17	0.002952	0.000000
ecmp	18	0.002852	0.000000
ecmp	19	0.002931	0.000000
ecmp	20	0.003188	0.000000
ecmp	21	0.003116	0.000000
ecmp	22	0.003267	0.000000
ecmp	23	0.003153	0.000000
ecmp	24	0.003112	0.000000
ecmp	25	0.003205	0.000000
ecmp	26	0.003043	0.000000
ecmp	27	0.002920	0.000000
ecmp	28	0.003206	0.000000
ecmp	29	0.003039	0.000000
ecmp	30	0.002888	0.000000
ecmp	31	0.002944	0.000000
ecmp	32	0.003170	0.000000
ecmp	33	0.002894	0.000000
ecmp	34	0.003229	0.000000
ecmp	35	0.003243	0.000000
ecmp	36	0.003149	0.000000
ecmp	37	0.003149	0.000000
ecmp	38	0.003225	0.000000
ecmp	39	0.003215	0.000000
ecmp	40	0.003475	0.000000
ecmp	41	0.003403	0.000000
ecmp	42	0.003385	0.000000
ecmp	43	0.003464	0.000000
ecmp	44	0.003701	0.000000
ecmp	45	0.003668	0.000000
ecmp	46	0.003970	0.000000
ecmp	47	0.003711	0.000000
ecmp	48	0.003482	0.000000
ecmp	49	0.003580	0.000000
ecmp	50	0.003783	0.000000
ecmp	51	0.003957	0.000000
ecmp	52	0.004349	0.000000
ecmp	53	0.004126	0.000000
ecmp	54	0.003784	0.000000
ecmp	55	0.004000	0.000000
ecmp	56	0.004366	0.000000
ecmp	57	0.004473	0.000000
ecmp	58	0.004473	0.000000
ecmp	59	0.004447	0.000000
ecmp	60	0.004311	0.000000
ecmp	61	0.004286	0.000000
ecmp	62	0.004366	0.000000
ecmp	63	0.004331	0.000000
ecmp	64	0.004521	0.000000
ecmp	65	0.004436	0.000000
ecmp	66	0.004412	0.000000
ecmp	67	0.004577	0.000000
ecmp	68	0.004490	0.000000
ecmp	69	0.004280	0.000000
ecmp	70	0.004525	0.000000
ecmp	71	0.004655	0.000000
ecmp	72	0.004460	0.000000
ecmp	73	0.004637	0.000000
ecmp	74	0.004599	0.000000
ecmp	75	0.004362	0.000000
ecmp	76	0.004586	0.000000
ecmp	77	0.004703	0.000000
ecmp	78	0.004062	0.000000
ecmp	79	0.004245	0.000000
ecmp	80	0.004435	0.000000
ecmp	81	0.004559	0.000000
ecmp	82	0.004671	0.000000
ecmp	83	0.004476	0.000000
ecmp	84	0.004167	0.000000
ecmp	85	0.004422	0.000000
ecmp	86	0.004668	0.000000
ecmp	87	0.004535	0.000000
ecmp	88	0.004810	0.000000
ecmp	89	0.004649	0.000000
ecmp	90	0.004555	0.000000
ecmp	91	0.004727	0.000000
ecmp	92	0.004622	0.000000
ecmp	93	0.004453	0.000000
ecmp	94	0.004606	0.000000
ecmp	95	0.004633	0.000000
ecmp	96	0.004516	0.000000
ecmp	97	0.004747	0.000000
ecmp	98	0.004732	0.000000
ecmp	99	0.004934	0.000000
mcf	0	0.004454	0.000000
mcf	1	0.004206	0.000000
mcf	2	0.004676	0.000000
mcf	3	0.004463	0.000000
mcf	4	0.004983	0.000000
mcf	5	0.004862	0.000000
mcf	6	0.004076	0.000000
mcf	7	0.004140	0.000000
mcf	8	0.004556	0.000000
mcf	9	0.004882	0.000000
mcf	10	0.004752	0.000000
mcf	11	0.004657	0.000000
mcf	12	0.004333	0.000000
mcf	13	0.004589	0.000000
mcf	14	0.004134	0.000000
mcf	15	0.004515	0.000000
mcf	16	0.004818	0.000000
mcf	17	0.004343	0.000000
mcf	18	0.004223	0.000000
mcf	19	0.004273	0.000000
mcf	20	0.004451	0.000000
mcf	21	0.004451	0.000000
mcf	22	0.004830	0.000000
mcf	23	0.004191	0.000000
mcf	24	0.004694	0.000000
mcf	25	0.004740	0.000000
mcf	26	0.004198	0.000000
mcf	27	0.004372	0.000000
mcf	28	0.004323	0.000000
mcf	29	0.004421	0.000000
mcf	30	0.003963	0.000000
mcf	31	0.003992	0.000000
mcf	32	0.004367	0.000000
mcf	33	0.003953	0.000000
mcf	34	0.004710	0.000000
mcf	35	0.004588	0.000000
mcf	36	0.004537	0.000000
mcf	37	0.004616	0.000000
mcf	38	0.004524	0.000000
mcf	39	0.004946	0.000000
mcf	40	0.005119	0.000000
mcf	41	0.005095	0.000000
mcf	42	0.005249	0.000000
mcf	43	0.005258	0.000000
mcf	44	0.005411	0.000000
mcf	45	0.005195	0.000000
mcf	46	0.006173	0.000000
mcf	47	0.005686	0.000000
mcf	48	0.005258	0.000000
mcf	49	0.005220	0.000000
mcf	50	0.005451	0.000000
mcf	51	0.005680	0.000000
mcf	52	0.006662	0.000000
mcf	53	0.006395	0.000000
mcf	54	0.005303	0.000000
mcf	55	0.005557	0.000000
mcf	56	0.006170	0.000000
mcf	57	0.006097	0.000000
mcf	58	0.006846	0.000000
mcf	59	0.006586	0.000000
mcf	60	0.006447	0.000000
mcf	61	0.006319	0.000000
mcf	62	0.006489	0.000000
mcf	63	0.007011	0.000000
mcf	64	0.006718	0.000000
mcf	65	0.006430	0.000000
mcf	66	0.006617	0.000000
mcf	67	0.006929	0.000000
mcf	68	0.006725	0.000000
mcf	69	0.006256	0.000000
mcf	70	0.006316	0.000000
mcf	71	0.006762	0.000000
mcf	72	0.006439	0.000000
mcf	73	0.006912	0.000000
mcf	74	0.006360	0.000000
mcf	75	0.006075	0.000000
mcf	76	0.006935	0.000000
mcf	77	0.006845	0.000000
mcf	78	0.005760	0.000000
mcf	79	0.005997	0.000000
mcf	80	0.006069	0.000000
mcf	81	0.006419	0.000000
mcf	82	0.007380	0.000000
mcf	83	0.006611	0.000000
mcf	84	0.006178	0.000000
mcf	85	0.006723	0.000000
mcf	86	0.007191	0.000000
mcf	87	0.006560	0.000000
mcf	88	0.007456	0.000000
mcf	89	0.007055	0.000000
mcf	90	0.006786	0.000000
mcf	91	0.007036	0.000000
mcf	92	0.006577	0.000000
mcf	93	0.006543	0.000000
mcf	94	0.006832	0.000000
mcf	95	0.006904	0.000000
mcf	96	0.006558	0.000000
mcf	97	0.007243	0.000000
mcf	98	0.006937	0.000000
mcf	99	0.007258	0.000000
mwmcf	0	0.002964	0.000000
mwmcf	1	0.002969	0.000000
mwmcf	2	0.003181	0.000000
mwmcf	3	0.002976	0.000000
mwmcf	4	0.003331	0.000000
mwmcf	5	0.003245	0.000000
mwmcf	6	0.002794	0.000000
mwmcf	7	0.002760	0.000000
mwmcf	8	0.003064	0.000000
mwmcf	9	0.003126	0.000000
mwmcf	10	0.003280	0.000000
mwmcf	11	0.002997	0.000000
mwmcf	12	0.002826	0.000000
mwmcf	13	0.002918	0.000000
mwmcf	14	0.002941	0.000000
mwmcf	15	0.002992	0.000000
mwmcf	16	0.003151	0.000000
mwmcf	17	0.002928	0.000000
mwmcf	18	0.002830	0.000000
mwmcf	19	0.002908	0.000000
mwmcf	20	0.003164	0.000000
mwmcf	21	0.003104	0.000000
mwmcf	22	0.003254	0.000000
mwmcf	23	0.003130	0.000000
mwmcf	24	0.003099	0.000000
mwmcf	25	0.003191	0.000000
mwmcf	26	0.003031	0.000000
mwmcf	27	0.002912	0.000000
mwmcf	28	0.003207	0.000000
mwmcf	29	0.003018	0.000000
mwmcf	30	0.002843	0.000000
mwmcf	31	0.002918	0.000000
mwmcf	32	0.003137	0.000000
mwmcf	33	0.002880	0.000000
mwmcf	34	0.003214	0.000000
mwmcf	35	0.003236	0.000000
mwmcf	36	0.003146	0.000000
mwmcf	37	0.003150	0.000000
mwmcf	38	0.003193	0.000000
mwmcf	39	0.003171	0.000000
mwmcf	40	0.003477	0.000000
mwmcf	41	0.003421	0.000000
mwmcf	42	0.003360	0.000000
mwmcf	43	0.003458	0.000000
mwmcf	44	0.003694	0.000000
mwmcf	45	0.003666	0.000000
mwmcf	46	0.003948	0.000000
mwmcf	47	0.003711	0.000000
mwmcf	48	0.003482	0.000000
mwmcf	49	0.003584	0.000000
mwmcf	50	0.003787	0.000000
mwmcf	51	0.003957	0.000000
mwmcf	52	0.004355	0.000000
mwmcf	53	0.004132	0.000000
mwmcf	54	0.003782	0.000000
mwmcf	55	0.004000	0.000000
mwmcf	56	0.004369	0.000000
mwmcf	57	0.004494	0.000000
mwmcf	58	0.004499	0.000000
mwmcf	59	0.004446	0.000000
mwmcf	60	0.004315	0.000000
mwmcf	61	0.004284	0.000000
mwmcf	62	0.004379	0.000000
mwmcf	63	0.004331	0.000000
mwmcf	64	0.004453	0.000000
mwmcf	65	0.004368	0.000000
mwmcf	66	0.004362	0.000000
mwmcf	67	0.004524	0.000000
mwmcf	68	0.004465	0.000000
mwmcf	69	0.004250	0.000000
mwmcf	70	0.004508	0.000000
mwmcf	71	0.004642	0.000000
mwmcf	72	0.004422	0.000000
