# solver	iter	num_paths	stddev
akecmp	0	149.000000	0.000000
akecmp	1	149.000000	0.000000
akecmp	2	149.000000	0.000000
akecmp	3	149.000000	0.000000
akecmp	4	149.000000	0.000000
akecmp	5	149.000000	0.000000
akecmp	6	149.000000	0.000000
akecmp	7	149.000000	0.000000
akecmp	8	149.000000	0.000000
akecmp	9	149.000000	0.000000
akecmp	10	149.000000	0.000000
akecmp	11	149.000000	0.000000
akecmp	12	149.000000	0.000000
akecmp	13	149.000000	0.000000
akecmp	14	149.000000	0.000000
akecmp	15	149.000000	0.000000
akecmp	16	149.000000	0.000000
akecmp	17	149.000000	0.000000
akecmp	18	149.000000	0.000000
akecmp	19	149.000000	0.000000
akecmp	20	149.000000	0.000000
akecmp	21	149.000000	0.000000
akecmp	22	149.000000	0.000000
akecmp	23	149.000000	0.000000
akecmp	24	149.000000	0.000000
akecmp	25	149.000000	0.000000
akecmp	26	149.000000	0.000000
akecmp	27	149.000000	0.000000
akecmp	28	149.000000	0.000000
akecmp	29	149.000000	0.000000
akecmp	30	149.000000	0.000000
akecmp	31	149.000000	0.000000
akecmp	32	149.000000	0.000000
akecmp	33	149.000000	0.000000
akecmp	34	149.000000	0.000000
akecmp	35	149.000000	0.000000
akecmp	36	149.000000	0.000000
akecmp	37	149.000000	0.000000
akecmp	38	149.000000	0.000000
akecmp	39	149.000000	0.000000
akecmp	40	149.000000	0.000000
akecmp	41	149.000000	0.000000
akecmp	42	149.000000	0.000000
akecmp	43	149.000000	0.000000
akecmp	44	149.000000	0.000000
akecmp	45	149.000000	0.000000
akecmp	46	149.000000	0.000000
akecmp	47	149.000000	0.000000
akecmp	48	149.000000	0.000000
akecmp	49	149.000000	0.000000
akecmp	50	149.000000	0.000000
akecmp	51	149.000000	0.000000
akecmp	52	149.000000	0.000000
akecmp	53	149.000000	0.000000
akecmp	54	149.000000	0.000000
akecmp	55	149.000000	0.000000
akecmp	56	149.000000	0.000000
