# solver	iter	mean-congestion	stddev
akmcf	36	0.002133	0.000000
akmcf	37	0.002158	0.000000
akmcf	38	0.002201	0.000000
akmcf	39	0.002197	0.000000
akmcf	40	0.002382	0.000000
akmcf	41	0.002314	0.000000
akmcf	42	0.002306	0.000000
akmcf	43	0.002368	0.000000
akmcf	44	0.002530	0.000000
akmcf	45	0.002526	0.000000
akmcf	46	0.002711	0.000000
akmcf	47	0.002538	0.000000
akmcf	48	0.002378	0.000000
akmcf	49	0.002450	0.000000
akmcf	50	0.002581	0.000000
akmcf	51	0.002693	0.000000
akmcf	52	0.002961	0.000000
akmcf	53	0.002801	0.000000
akmcf	54	0.002558	0.000000
akmcf	55	0.002705	0.000000
akmcf	56	0.002956	0.000000
akmcf	57	0.002991	0.000000
akmcf	58	0.003026	0.000000
akmcf	59	0.003027	0.000000
akmcf	60	0.002923	0.000000
akmcf	61	0.002916	0.000000
akmcf	62	0.002974	0.000000
akmcf	63	0.002947	0.000000
akmcf	64	0.003037	0.000000
akmcf	65	0.002958	0.000000
akmcf	66	0.002949	0.000000
akmcf	67	0.003059	0.000000
akmcf	68	0.002995	0.000000
akmcf	69	0.002880	0.000000
akmcf	70	0.003038	0.000000
akmcf	71	0.003138	0.000000
akmcf	72	0.003020	0.000000
akmcf	73	0.003125	0.000000
akmcf	74	0.003099	0.000000
akmcf	75	0.002945	0.000000
akmcf	76	0.003090	0.000000
akmcf	77	0.003152	0.000000
akmcf	78	0.002732	0.000000
akmcf	79	0.002850	0.000000
akmcf	80	0.002995	0.000000
akmcf	81	0.003086	0.000000
akmcf	82	0.003175	0.000000
akmcf	83	0.003040	0.000000
akmcf	84	0.002822	0.000000
akmcf	85	0.003005	0.000000
akmcf	86	0.003161	0.000000
akmcf	87	0.003072	0.000000
akmcf	88	0.003283	0.000000
akmcf	89	0.003166	0.000000
akmcf	90	0.003116	0.000000
akmcf	91	0.003232	0.000000
akmcf	92	0.003127	0.000000
akmcf	93	0.003018	0.000000
akmcf	94	0.003119	0.000000
