#solver	iter	latency-throughput
		5. : 0.73255622715
		6. : 0.754424123272
		7. : 0.758921153414
		8. : 0.760184644546
		9. : 0.761978558427
		10. : 0.76201949703
raeke	5	
		1. : 0.146899778591
		2. : 0.304390480656
		3. : 0.482730612517
		4. : 0.589611402145
		5. : 0.657364110898
		6. : 0.676408066208
		7. : 0.686596267969
		8. : 0.688708854744
		9. : 0.689167393744
		10. : 0.689193392293
raeke	6	
		1. : 0.185494405555
		2. : 0.347444525208
		3. : 0.539178318993
		4. : 0.674444842941
		5. : 0.743871195158
		6. : 0.763916494809
		7. : 0.768555429624
		8. : 0.76981481406
		9. : 0.771466250032
		10. : 0.771493026591
raeke	7	
		1. : 0.146994511794
		2. : 0.305134440051
		3. : 0.485153316828
		4. : 0.593860555328
		5. : 0.659640416019
		6. : 0.679126678265
		7. : 0.68968927838
		8. : 0.69178780872
		9. : 0.692231521085
		10. : 0.692258352304
raeke	8	
		1. : 0.147093820662
		2. : 0.305551992752
		3. : 0.490599411171
		4. : 0.598894969784
		5. : 0.662362032068
		6. : 0.682398914545
		7. : 0.693802215403
		8. : 0.696014650269
		9. : 0.696453988421
		10. : 0.696478537702
raeke	9	
		1. : 0.187116629586
		2. : 0.34150483102
		3. : 0.526840939631
		4. : 0.661867611287
		5. : 0.733635446598
		6. : 0.756020330913
		7. : 0.76062854396
		8. : 0.761916645305
		9. : 0.763740975423
		10. : 0.76376753557
semimcfecmp	0	
		1. : 0.273570149543
		2. : 0.613609499418
		3. : 0.81092620977
		4. : 0.956517226375
		5. : 1.
semimcfecmp	1	
		1. : 0.270868530688
		2. : 0.606176920707
		3. : 0.801686249811
		4. : 0.951612175575
		5. : 1.
semimcfecmp	2	
		1. : 0.225446459961
		2. : 0.461092663827
		3. : 0.57064064999
		4. : 0.648884241628
		5. : 0.675001399863
semimcfecmp	3	
		1. : 0.229918779481
		2. : 0.467063167088
		3. : 0.569000617156
		4. : 0.64804272343
		5. : 0.674828905027
semimcfecmp	4	
		1. : 0.230040750372
		2. : 0.471999235228
		3. : 0.576005694322
		4. : 0.656289474387
		5. : 0.683006448369
semimcfecmp	5	
		1. : 0.230435538112
		2. : 0.470040636989
		3. : 0.580900405686
		4. : 0.656722505478
		5. : 0.682880901872
semimcfecmp	6	
		1. : 0.229842201998
		2. : 0.475530276148
		3. : 0.591758701088
		4. : 0.669121895278
		5. : 0.693238192387
semimcfecmp	7	
		1. : 0.230672638145
		2. : 0.47252984508
		3. : 0.587655466065
		4. : 0.66558640911
		5. : 0.690447399484
semimcfecmp	8	
		1. : 0.228226364964
		2. : 0.468950797206
		3. : 0.58774964114
		4. : 0.664937513825
		5. : 0.688682588466
semimcfecmp	9	
		1. : 0.232189218889
		2. : 0.472334746259
		3. : 0.580118673669
		4. : 0.659728605528
		5. : 0.687380382092
semimcfksp	0	
		1. : 0.184077987048
		2. : 0.437471165195
		3. : 0.629342298124
		4. : 0.84102845123
		5. : 0.983716713665
		6. : 1.
		7. : 1.
semimcfksp	1	
		1. : 0.231765281031
		2. : 0.473670985859
		3. : 0.678793162845
		4. : 0.893248917755
		5. : 0.98903650325
		6. : 0.99934804196
		7. : 1.
semimcfksp	2	
		1. : 0.162321363224
		2. : 0.323124212575
		3. : 0.457905476534
		4. : 0.603503678514
		5. : 0.693798853085
		6. : 0.704576341161
		7. : 0.704576341161
semimcfksp	3	
		1. : 0.173325077003
		2. : 0.340095957095
		3. : 0.459841487373
		4. : 0.593531837074
		5. : 0.687593211819
		6. : 0.696666377148
		7. : 0.696666377148
semimcfksp	4	
		1. : 0.178000607515
		2. : 0.342627415367
		3. : 0.458708570189
		4. : 0.605209402297
		5. : 0.696944047489
		6. : 0.705263595555
		7. : 0.705263595555
semimcfksp	5	
		1. : 0.160263859113
		2. : 0.320063487097
		3. : 0.457157949429
		4. : 0.591933313368
		5. : 0.70042524421
		6. : 0.708933519259
		7. : 0.708933519259
semimcfksp	6	
		1. : 0.180299091312
		2. : 0.371172037323
		3. : 0.489520981874
		4. : 0.602463928751
		5. : 0.686773772343
		6. : 0.704440186351
		7. : 0.704440186351
semimcfksp	7	
		1. : 0.193607144224
		2. : 0.352932032109
		3. : 0.48039197909
		4. : 0.61891513793
		5. : 0.709144902906
		6. : 0.717484474941
		7. : 0.718258535412
semimcfksp	8	
		1. : 0.191023639216
		2. : 0.361308885457
		3. : 0.507466445421
		4. : 0.601650578772
		5. : 0.698729554718
		6. : 0.705087986749
		7. : 0.705489324979
semimcfksp	9	
		1. : 0.167115874124
		2. : 0.33343986379
		3. : 0.459897226754
		4. : 0.61859234879
		5. : 0.702522960625
		6. : 0.709635665219
		7. : 0.709635665219
semimcfmcf	0	
		1. : 0.250237394853
		2. : 0.436677134587
		3. : 0.554312018174
		4. : 0.612459043798
		5. : 0.713569902633
		6. : 0.854354611472
		7. : 0.953645705578
		8. : 1.
semimcfmcf	1	
		1. : 0.248107739035
		2. : 0.439218323263
		3. : 0.549133799819
		4. : 0.607629635331
		5. : 0.708195097838
		6. : 0.85041470842
		7. : 0.950916174552
		8. : 1.
semimcfmcf	2	
		1. : 0.203166525707
		2. : 0.314060548572
		3. : 0.396287260629
		4. : 0.447064063029
		5. : 0.517930546593
		6. : 0.644179877087
		7. : 0.677925204483
		8. : 0.683846262308
semimcfmcf	3	
		1. : 0.209510100119
		2. : 0.330198800577
		3. : 0.400456759367
		4. : 0.4496240842
		5. : 0.519947281659
		6. : 0.634432482617
		7. : 0.666605006566
		8. : 0.672581965641
semimcfmcf	4	
		1. : 0.208752059068
		2. : 0.332229479814
		3. : 0.404267697106
		4. : 0.454633946014
		5. : 0.525479870288
		6. : 0.640708668969
		7. : 0.673989484591
		8. : 0.679823520761
semimcfmcf	5	
		1. : 0.209047465991
		2. : 0.325655454438
		3. : 0.405610672514
		4. : 0.456188036852
		5. : 0.525000499251
		6. : 0.646322490698
		7. : 0.681116669178
		8. : 0.686894251512
semimcfmcf	6	
		1. : 0.206508133273
		2. : 0.327723768916
		3. : 0.412057336696
		4. : 0.463337231188
		5. : 0.547861115206
		6. : 0.66049409376
		7. : 0.695153392368
		8. : 0.70100433086
semimcfmcf	7	
		1. : 0.209329501932
		2. : 0.32487050752
		3. : 0.409280469569
		4. : 0.461604488582
		5. : 0.535034002755
		6. : 0.654687645711
		7. : 0.689001573568
		8. : 0.695048231448
semimcfmcf	8	
		1. : 0.209607909439
		2. : 0.321959572503
		3. : 0.411171991863
		4. : 0.464085141681
		5. : 0.535288042926
		6. : 0.66635305887
		7. : 0.699375860852
		8. : 0.704963001918
semimcfmcf	9	
		1. : 0.213840594855
		2. : 0.325921032828
		3. : 0.402652305828
		4. : 0.455290026903
		5. : 0.523192913953
		6. : 0.646278624593
		7. : 0.678400738604
		8. : 0.684081391324
semimcfraeke	0	
		1. : 0.220313911573
		2. : 0.4743375783
		3. : 0.708236774531
		4. : 0.880285602605
		5. : 0.94097257326
		6. : 1.
		7. : 1.
semimcfraeke	1	
		1. : 0.20112693536
		2. : 0.430794676857
		3. : 0.641922163051
		4. : 0.882560496747
		5. : 0.942497905943
		6. : 0.994053650654
		7. : 1.
semimcfraeke	2	
		1. : 0.16676528388
		2. : 0.334702504161
		3. : 0.464700558431
