# solver	iter	edge-congestion
		(s4,s5) : 1.09581247209
		(h5,s5) : 0.00732614407464
		(s5,h5) : 0.00732614407464
		(s5,s4) : 1.09581247209
		(s5,s6) : 1.09388123429
		(h6,s6) : 0.0071187045366
		(s6,h6) : 0.0071187045366
		(s6,s5) : 1.09388123429
		(s6,s7) : 1.1027101723
		(h7,s7) : 0.00700851281484
		(s7,h7) : 0.00700851281484
		(s7,s6) : 1.1027101723
		(s7,s8) : 1.10758852864
		(h8,s8) : 0.00757172348953
		(s8,h8) : 0.00757172348953
		(s8,s7) : 1.10758852864
		(s8,s9) : 1.10445573689
		(h9,s9) : 0.00754017087202
		(s9,h9) : 0.00754017087202
		(s9,s0) : 1.11308540144
		(s9,s8) : 1.10445573689
akraeke	1	
		(h0,s0) : 0.0070018072923
		(s0,h0) : 0.0070018072923
		(s0,s1) : 1.10936365903
		(s0,s9) : 1.11308540144
		(h1,s1) : 0.0070125337631
		(s1,h1) : 0.0070125337631
		(s1,s0) : 1.10936365903
		(s1,s2) : 1.10005220724
		(h2,s2) : 0.0078003203112
		(s2,h2) : 0.0078003203112
		(s2,s1) : 1.10005220724
		(s2,s3) : 1.09578349761
		(h3,s3) : 0.00745904232774
		(s3,h3) : 0.00745904232774
		(s3,s2) : 1.09578349761
		(s3,s4) : 1.09548133517
		(h4,s4) : 0.00662649316447
		(s4,h4) : 0.00662649316447
		(s4,s3) : 1.09548133517
		(s4,s5) : 1.09581247209
		(h5,s5) : 0.00732614407464
		(s5,h5) : 0.00732614407464
		(s5,s4) : 1.09581247209
		(s5,s6) : 1.09388123429
		(h6,s6) : 0.0071187045366
		(s6,h6) : 0.0071187045366
		(s6,s5) : 1.09388123429
		(s6,s7) : 1.1027101723
		(h7,s7) : 0.00700851281484
		(s7,h7) : 0.00700851281484
		(s7,s6) : 1.1027101723
		(s7,s8) : 1.10758852864
		(h8,s8) : 0.00757172348953
		(s8,h8) : 0.00757172348953
		(s8,s7) : 1.10758852864
		(s8,s9) : 1.10445573689
		(h9,s9) : 0.00754017087202
		(s9,h9) : 0.00754017087202
		(s9,s0) : 1.11308540144
		(s9,s8) : 1.10445573689
akvlb	0	
		(h0,s0) : 0.00372529029846
		(s0,h0) : 0.00372529029846
		(s0,s1) : 0.931322574615
		(s0,s9) : 0.894069671631
		(h1,s1) : 0.00372529029846
		(s1,h1) : 0.00372529029846
		(s1,s0) : 0.9685754776
		(s1,s2) : 0.931322574615
		(h2,s2) : 0.00372529029846
		(s2,h2) : 0.00372529029846
		(s2,s1) : 0.9685754776
		(s2,s3) : 0.9685754776
		(h3,s3) : 0.00372529029846
		(s3,h3) : 0.00372529029846
		(s3,s2) : 1.00582838058
		(s3,s4) : 1.00582838058
		(h4,s4) : 0.00372529029846
		(s4,h4) : 0.00372529029846
		(s4,s3) : 1.04308128357
		(s4,s5) : 0.9685754776
		(h5,s5) : 0.00372529029846
		(s5,h5) : 0.00372529029846
		(s5,s4) : 1.00582838058
		(s5,s6) : 0.894069671631
		(h6,s6) : 0.00372529029846
		(s6,h6) : 0.00372529029846
		(s6,s5) : 0.931322574615
		(s6,s7) : 0.894069671631
		(h7,s7) : 0.00372529029846
		(s7,h7) : 0.00372529029846
		(s7,s6) : 0.931322574615
		(s7,s8) : 0.856816768646
		(h8,s8) : 0.00372529029846
		(s8,h8) : 0.00372529029846
		(s8,s7) : 0.894069671631
