# solver	iter	.0.200000-congestion	stddev
akecmp	0	0.707805	0.000000
akecmp	1	0.707805	0.000000
akmcf	0	0.707805	0.000000
akmcf	1	0.707805	0.000000
akraeke	0	1.107509	0.000000
akraeke	1	1.107509	0.000000
akvlb	0	0.968575	0.000000
akvlb	1	0.968575	0.000000
ecmp	0	0.707805	0.000000
ecmp	1	0.707805	0.000000
ksp	0	0.906487	0.000000
ksp	1	0.906487	0.000000
mcf	0	0.707805	0.000000
mcf	1	0.707805	0.000000
mwmcf	0	0.819564	0.000000
mwmcf	1	0.819564	0.000000
raeke	0	1.104566	0.000000
raeke	1	1.104566	0.000000
semimcfecmp	0	0.707805	0.000000
semimcfecmp	1	0.707805	0.000000
semimcfmcf	0	0.707805	0.000000
semimcfmcf	1	0.707805	0.000000
semimcfraeke	0	0.707805	0.000000
semimcfraeke	1	0.707805	0.000000
semimcfvlb	0	0.707805	0.000000
semimcfvlb	1	0.707805	0.000000
spf	0	0.819564	0.000000
spf	1	0.819564	0.000000
vlb	0	1.043081	0.000000
vlb	1	1.005828	0.000000

