# solver	iter	max-exp-congestion	stddev
ecmp	0	1.879371	0.000000
ecmp	1	1.844831	0.000000
ecmp	2	1.843044	0.000000
ecmp	3	1.614552	0.000000
ecmp	4	1.451125	0.000000
ecmp	5	1.555483	0.000000
ecmp	6	1.426680	0.000000
ecmp	7	1.438441	0.000000
ecmp	8	1.519996	0.000000
ecmp	9	1.588689	0.000000
ecmp	10	1.611627	0.000000
ecmp	11	1.636686	0.000000
ecmp	12	1.756248	0.000000
ecmp	13	1.796039	0.000000
ecmp	14	1.813986	0.000000
ecmp	15	1.617413	0.000000
ecmp	16	1.608656	0.000000
ecmp	17	1.861238	0.000000
ecmp	18	1.909584	0.000000
ecmp	19	1.976602	0.000000
ecmp	20	2.009952	0.000000
ecmp	21	1.866917	0.000000
ecmp	22	1.994505	0.000000
ecmp	23	2.023325	0.000000
ksp	0	1.642046	0.000000
ksp	1	1.610778	0.000000
ksp	2	1.602089	0.000000
ksp	3	1.407257	0.000000
ksp	4	1.256791	0.000000
ksp	5	1.347716	0.000000
ksp	6	1.237419	0.000000
ksp	7	1.246690	0.000000
ksp	8	1.316785	0.000000
ksp	9	1.364588	0.000000
ksp	10	1.387357	0.000000
ksp	11	1.414108	0.000000
ksp	12	1.521270	0.000000
ksp	13	1.549521	0.000000
ksp	14	1.572950	0.000000
ksp	15	1.409849	0.000000
ksp	16	1.394856	0.000000
ksp	17	1.613965	0.000000
ksp	18	1.649642	0.000000
ksp	19	1.699609	0.000000
ksp	20	1.724884	0.000000
ksp	21	1.614036	0.000000
ksp	22	1.740991	0.000000
ksp	23	1.764647	0.000000
mcf	0	1.200000	0.000000
mcf	1	1.179975	0.000000
mcf	2	1.177249	0.000000
mcf	3	1.030633	0.000000
mcf	4	0.926297	0.000000
mcf	5	0.991034	0.000000
mcf	6	0.908732	0.000000
mcf	7	0.916918	0.000000
mcf	8	0.968905	0.000000
mcf	9	1.012698	0.000000
mcf	10	1.031921	0.000000
mcf	11	1.049374	0.000000
mcf	12	1.126033	0.000000
mcf	13	1.149094	0.000000
mcf	14	1.162875	0.000000
mcf	15	1.036700	0.000000
mcf	16	1.031087	0.000000
mcf	17	1.192981	0.000000
mcf	18	1.222426	0.000000
mcf	19	1.265366	0.000000
