# solver	iter	max-exp-congestion	stddev
akecmp	0	0.931323	0.000000
akecmp	1	0.931323	0.000000
akecmp	2	0.931323	0.000000
akecmp	3	0.931323	0.000000
akecmp	4	0.931323	0.000000
akecmp	5	0.931323	0.000000
akecmp	6	0.931323	0.000000
akecmp	7	0.931323	0.000000
akecmp	8	0.931323	0.000000
akecmp	9	0.931323	0.000000
akksp	0	0.372529	0.000000
akksp	1	0.372529	0.000000
akksp	2	0.372529	0.000000
akksp	3	0.372529	0.000000
akksp	4	0.372529	0.000000
akksp	5	0.372529	0.000000
akksp	6	0.372529	0.000000
akksp	7	0.372529	0.000000
akksp	8	0.372529	0.000000
akksp	9	0.372529	0.000000
akmcf	0	0.931323	0.000000
akmcf	1	0.931323	0.000000
akmcf	2	0.931323	0.000000
akmcf	3	0.931323	0.000000
akmcf	4	0.931323	0.000000
akmcf	5	0.931323	0.000000
akmcf	6	0.931323	0.000000
akmcf	7	0.931323	0.000000
akmcf	8	0.931323	0.000000
akmcf	9	0.931323	0.000000
akraeke	0	0.581611	0.000000
akraeke	1	0.581611	0.000000
akraeke	2	0.581611	0.000000
akraeke	3	0.581611	0.000000
akraeke	4	0.581611	0.000000
akraeke	5	0.581611	0.000000
akraeke	6	0.581611	0.000000
akraeke	7	0.581611	0.000000
akraeke	8	0.581611	0.000000
akraeke	9	0.581611	0.000000
akvlb	0	1.043081	0.000000
akvlb	1	1.043081	0.000000
akvlb	2	1.043081	0.000000
akvlb	3	1.043081	0.000000
akvlb	4	1.043081	0.000000
akvlb	5	1.043081	0.000000
akvlb	6	1.043081	0.000000
akvlb	7	1.043081	0.000000
akvlb	8	1.043081	0.000000
akvlb	9	1.043081	0.000000
ecmp	0	0.931323	0.000000
ecmp	1	0.931323	0.000000
ecmp	2	0.931323	0.000000
ecmp	3	0.931323	0.000000
ecmp	4	0.931323	0.000000
ecmp	5	0.931323	0.000000
ecmp	6	0.931323	0.000000
ecmp	7	0.931323	0.000000
ecmp	8	0.931323	0.000000
ecmp	9	0.931323	0.000000
ksp	0	0.372529	0.000000
ksp	1	0.372529	0.000000
ksp	2	0.372529	0.000000
ksp	3	0.372529	0.000000
ksp	4	0.372529	0.000000
ksp	5	0.372529	0.000000
ksp	6	0.372529	0.000000
ksp	7	0.372529	0.000000
ksp	8	0.372529	0.000000
ksp	9	0.372529	0.000000
mcf	0	0.465661	0.000000
mcf	1	0.465661	0.000000
mcf	2	0.465661	0.000000
mcf	3	0.465661	0.000000
mcf	4	0.465661	0.000000
mcf	5	0.465661	0.000000
mcf	6	0.465661	0.000000
mcf	7	0.465661	0.000000
mcf	8	0.465661	0.000000
mcf	9	0.465661	0.000000
mwmcf	0	0.931323	0.000000
mwmcf	1	0.931323	0.000000
mwmcf	2	0.931323	0.000000
mwmcf	3	0.931323	0.000000
mwmcf	4	0.931323	0.000000
mwmcf	5	0.931323	0.000000
mwmcf	6	0.931323	0.000000
mwmcf	7	0.931323	0.000000
mwmcf	8	0.931323	0.000000
mwmcf	9	0.931323	0.000000
raeke	0	0.634852	0.000000
raeke	1	0.634852	0.000000
raeke	2	0.634852	0.000000
raeke	3	0.634852	0.000000
raeke	4	0.634852	0.000000
raeke	5	0.634852	0.000000
raeke	6	0.634852	0.000000
raeke	7	0.634852	0.000000
