#solver	iter	latency-throughput
raeke	0	
		1. : 0.213554573002
		2. : 0.417828749694
		3. : 0.643608531934
		4. : 0.838573332553
		5. : 0.958601958906
		6. : 0.995393390261
		7. : 0.999986629813
		8. : 1.
raeke	1	
		1. : 0.21174269909
		2. : 0.411699098548
		3. : 0.635600189529
		4. : 0.83075133813
		5. : 0.956964425879
		6. : 0.995626413677
		7. : 0.999990534453
		8. : 1.
raeke	2	
		1. : 0.206786749488
		2. : 0.408669227009
		3. : 0.636753857391
		4. : 0.831458825042
		5. : 0.957047062783
		6. : 0.995486345329
		7. : 0.999984963868
		8. : 1.
raeke	3	
		1. : 0.213904070542
		2. : 0.415835243799
		3. : 0.637947421594
		4. : 0.831368510013
		5. : 0.957053326396
		6. : 0.995435282516
		7. : 0.999990584497
		8. : 1.
raeke	4	
		1. : 0.213961291978
		2. : 0.417560259209
		3. : 0.639620373782
		4. : 0.83303115749
		5. : 0.957154047027
		6. : 0.995112393639
		7. : 0.999990430405
		8. : 1.
raeke	5	
		1. : 0.210335293437
		2. : 0.415573814746
		3. : 0.643709511935
		4. : 0.836283816256
		5. : 0.95797772821
		6. : 0.995318799287
		7. : 0.99999228485
		8. : 1.
raeke	6	
		1. : 0.208940243315
		2. : 0.416556118228
		3. : 0.647223487293
		4. : 0.841602105007
		5. : 0.959228710555
		6. : 0.995377352836
		7. : 0.999993545363
		8. : 1.
raeke	7	
		1. : 0.207921023696
		2. : 0.411945103782
		3. : 0.642304972536
		4. : 0.837753296626
		5. : 0.958068007772
		6. : 0.995328389104
		7. : 0.999992401075
		8. : 1.
raeke	8	
		1. : 0.205688281722
		2. : 0.40840581011
		3. : 0.642231910271
		4. : 0.838445270768
		5. : 0.95819903035
		6. : 0.995304025488
		7. : 0.99998966511
		8. : 1.
raeke	9	
		1. : 0.212982592416
		2. : 0.413952736605
		3. : 0.637750265897
		4. : 0.833037396461
		5. : 0.956774935979
		6. : 0.995293779108
		7. : 0.999993152481
		8. : 1.
semimcfecmp	0	
		1. : 0.273570149543
		2. : 0.613609499418
		3. : 0.81092620977
		4. : 0.956517226375
		5. : 1.
semimcfecmp	1	
		1. : 0.270868530688
		2. : 0.606176920707
		3. : 0.801686249811
		4. : 0.951612175575
		5. : 1.
semimcfecmp	2	
		1. : 0.264411835017
		2. : 0.600398154146
		3. : 0.804752141086
		4. : 0.953786513135
		5. : 1.
semimcfecmp	3	
		1. : 0.273336133824
		2. : 0.613374627144
		3. : 0.803560486548
		4. : 0.951791009819
		5. : 1.
semimcfecmp	4	
		1. : 0.273763702931
		2. : 0.616219800345
		3. : 0.805203391502
		4. : 0.952024716991
		5. : 1.
semimcfecmp	5	
		1. : 0.269297874263
		2. : 0.610729308371
		3. : 0.811685866074
		4. : 0.953086559005
		5. : 1.
semimcfecmp	6	
		1. : 0.268067963625
		2. : 0.613706615915
		3. : 0.814636774305
		4. : 0.959275050759
		5. : 1.
semimcfecmp	7	
		1. : 0.266514081632
		2. : 0.606517723808
		3. : 0.809879395447
		4. : 0.957596604944
		5. : 1.
semimcfecmp	8	
		1. : 0.263257978597
		2. : 0.599286000542
		3. : 0.810797751825
		4. : 0.959934955164
		5. : 1.
semimcfecmp	9	
		1. : 0.272576327877
		2. : 0.609515800761
		3. : 0.803200707213
		4. : 0.952728814481
		5. : 1.
semimcfksp	0	
		1. : 0.184077987048
		2. : 0.437471165195
		3. : 0.629342298124
		4. : 0.841028451229
		5. : 0.983716713665
		6. : 1.
		7. : 1.
semimcfksp	1	
		1. : 0.231765281031
		2. : 0.473670985859
		3. : 0.678793162845
		4. : 0.893248917755
		5. : 0.98903650325
		6. : 0.99934804196
		7. : 1.
semimcfksp	2	
		1. : 0.196063437492
		2. : 0.422759075964
		3. : 0.624926692723
		4. : 0.832090029639
		5. : 0.972953048864
		6. : 1.
		7. : 1.
semimcfksp	3	
		1. : 0.215992573292
		2. : 0.451697972838
		3. : 0.635421602291
		4. : 0.826853212367
		5. : 0.974361743844
		6. : 1.
		7. : 1.
semimcfksp	4	
		1. : 0.200217670804
		2. : 0.454584320842
		3. : 0.631283759473
		4. : 0.843339849804
		5. : 0.985338336909
		6. : 1.
		7. : 1.
semimcfksp	5	
		1. : 0.186735583633
		2. : 0.448361546848
		3. : 0.647901999531
		4. : 0.827640096867
		5. : 0.984961363266
		6. : 1.
		7. : 1.
semimcfksp	6	
		1. : 0.218524852938
		2. : 0.489111053156
		3. : 0.690944887142
		4. : 0.861170174219
		5. : 0.964622569659
		6. : 1.
		7. : 1.
semimcfksp	7	
		1. : 0.206250996152
		2. : 0.435097841419
		3. : 0.650786103366
		4. : 0.859189560279
		5. : 0.982967730649
		6. : 0.999225939529
		7. : 1.
semimcfksp	8	
		1. : 0.226055252848
		2. : 0.466051677396
		3. : 0.696067389003
		4. : 0.844740510127
		5. : 0.978104394383
		6. : 0.999598661771
		7. : 1.
semimcfksp	9	
		1. : 0.185275283655
		2. : 0.436064595412
		3. : 0.62392488842
