# solver	iter	max-congestion	stddev
akecmp	0	0.931323	0.000000
akecmp	1	0.931323	0.000000
akmcf	0	2.793968	0.000000
akmcf	1	2.793968	0.000000
akraeke	0	5.544631	0.000000
akraeke	1	5.544631	0.000000
akvlb	0	8.940697	0.000000
akvlb	1	8.940697	0.000000
ecmp	0	0.931323	0.000000
ecmp	1	0.931323	0.000000
mcf	0	0.931323	0.000000
mcf	1	0.931323	0.000000
mwmcf	0	0.931323	0.000000
mwmcf	1	0.931323	0.000000
raeke	0	5.264386	0.000000
raeke	1	5.264386	0.000000
semimcfecmp	0	0.931323	0.000000
semimcfecmp	1	0.931323	0.000000
semimcfmcf	0	2.793968	0.000000
semimcfmcf	1	2.793968	0.000000
semimcfraeke	0	0.931323	0.000000
semimcfraeke	1	0.931323	0.000000
semimcfvlb	0	0.931323	0.000000
semimcfvlb	1	0.931323	0.000000
spf	0	0.931323	0.000000
spf	1	0.931323	0.000000
vlb	0	8.599212	0.000000
vlb	1	8.816520	0.000000

