# solver	iter	edge-congestion
		(s2,s7) : 0.776102145202
		(s3,s2) : 0.776102145202
		(s3,s4) : 0.
		(s3,s8) : 1.5522042904
		(h1,s4) : 0.015522042904
		(s4,h1) : 0.015522042904
		(s4,s3) : 0.776102145202
		(s4,s9) : 0.776102145202
		(s5,s6) : 0.
		(s5,s10) : 0.776102145202
		(s6,s1) : 0.776102145202
		(s6,s5) : 0.776102145202
		(s6,s7) : 1.5522042904
		(s6,s11) : 1.5522042904
		(h2,s7) : 0.015522042904
		(s7,h2) : 0.015522042904
		(s7,s2) : 1.5522042904
		(s7,s6) : 1.5522042904
		(s7,s8) : 0.776102145202
		(s7,s12) : 0.776102145202
		(s8,s3) : 0.776102145202
		(s8,s7) : 0.776102145202
		(s8,s13) : 0.776102145202
		(s9,s4) : 1.5522042904
		(s9,s8) : 0.
		(s9,s14) : 0.776102145202
		(s10,s5) : 0.
		(s10,s15) : 0.776102145202
		(s11,s6) : 1.5522042904
		(s11,s16) : 1.5522042904
		(s12,s7) : 1.5522042904
		(s12,s17) : 0.776102145202
		(s13,s18) : 0.776102145202
		(s14,s9) : 1.5522042904
		(s14,s19) : 0.776102145202
		(h3,s15) : 0.0232830643561
		(s15,h3) : 0.0232830643561
		(s15,s10) : 0.
		(s15,s16) : 1.5522042904
		(s15,s20) : 0.776102145202
		(s16,s11) : 1.5522042904
		(s16,s15) : 0.776102145202
		(s16,s17) : 1.5522042904
		(s16,s21) : 1.5522042904
		(s17,s12) : 1.5522042904
		(s17,s16) : 0.776102145202
		(s17,s22) : 1.5522042904
		(s18,s23) : 1.5522042904
		(s19,s14) : 1.5522042904
		(s19,s18) : 0.776102145202
		(s20,s15) : 0.776102145202
		(s20,s21) : 0.776102145202
		(h4,s21) : 0.0232830643561
		(s21,h4) : 0.0232830643561
		(s21,s16) : 1.5522042904
		(s21,s20) : 0.776102145202
		(s21,s22) : 1.5522042904
		(s22,s17) : 1.5522042904
		(s22,s21) : 1.5522042904
		(s22,s23) : 1.5522042904
		(s23,s22) : 1.5522042904
		(s23,s24) : 1.5522042904
		(s24,s19) : 1.5522042904
akmcf	1	
		(s1,s2) : 0.776102145202
		(s1,s6) : 1.5522042904
		(h0,s2) : 0.015522042904
		(s2,h0) : 0.015522042904
		(s2,s1) : 1.5522042904
		(s2,s3) : 0.776102145202
		(s2,s7) : 0.776102145202
		(s3,s2) : 0.776102145202
		(s3,s4) : 0.
		(s3,s8) : 1.5522042904
		(h1,s4) : 0.015522042904
		(s4,h1) : 0.015522042904
		(s4,s3) : 0.776102145202
		(s4,s9) : 0.776102145202
		(s5,s6) : 0.
		(s5,s10) : 0.776102145202
		(s6,s1) : 0.776102145202
		(s6,s5) : 0.776102145202
		(s6,s7) : 1.5522042904
		(s6,s11) : 1.5522042904
		(h2,s7) : 0.015522042904
		(s7,h2) : 0.015522042904
		(s7,s2) : 1.5522042904
		(s7,s6) : 1.5522042904
		(s7,s8) : 0.776102145202
		(s7,s12) : 0.776102145202
		(s8,s3) : 0.776102145202
		(s8,s7) : 0.776102145202
		(s8,s13) : 0.776102145202
		(s9,s4) : 1.5522042904
		(s9,s8) : 0.
