# solver	iter	num_paths	stddev
semimcfraeke	10	616.000000	0.000000
semimcfraeke	11	616.000000	0.000000
semimcfraeke	12	616.000000	0.000000
semimcfraeke	13	616.000000	0.000000
semimcfraeke	14	616.000000	0.000000
semimcfraeke	15	616.000000	0.000000
semimcfraeke	16	616.000000	0.000000
semimcfraeke	17	616.000000	0.000000
semimcfraeke	18	616.000000	0.000000
semimcfraeke	19	616.000000	0.000000
semimcfraeke	20	616.000000	0.000000
semimcfraeke	21	616.000000	0.000000
semimcfraeke	22	616.000000	0.000000
semimcfraeke	23	616.000000	0.000000
semimcfvlb	0	493.000000	0.000000
semimcfvlb	1	493.000000	0.000000
semimcfvlb	2	493.000000	0.000000
semimcfvlb	3	493.000000	0.000000
semimcfvlb	4	493.000000	0.000000
semimcfvlb	5	493.000000	0.000000
semimcfvlb	6	493.000000	0.000000
semimcfvlb	7	493.000000	0.000000
semimcfvlb	8	493.000000	0.000000
semimcfvlb	9	493.000000	0.000000
semimcfvlb	10	493.000000	0.000000
semimcfvlb	11	493.000000	0.000000
semimcfvlb	12	493.000000	0.000000
semimcfvlb	13	493.000000	0.000000
semimcfvlb	14	493.000000	0.000000
semimcfvlb	15	493.000000	0.000000
semimcfvlb	16	493.000000	0.000000
semimcfvlb	17	493.000000	0.000000
semimcfvlb	18	493.000000	0.000000
semimcfvlb	19	493.000000	0.000000
semimcfvlb	20	493.000000	0.000000
semimcfvlb	21	493.000000	0.000000
semimcfvlb	22	493.000000	0.000000
semimcfvlb	23	493.000000	0.000000
spf	0	132.000000	0.000000
spf	1	132.000000	0.000000
spf	2	132.000000	0.000000
spf	3	132.000000	0.000000
spf	4	132.000000	0.000000
spf	5	132.000000	0.000000
spf	6	132.000000	0.000000
spf	7	132.000000	0.000000
spf	8	132.000000	0.000000
spf	9	132.000000	0.000000
spf	10	132.000000	0.000000
spf	11	132.000000	0.000000
spf	12	132.000000	0.000000
spf	13	132.000000	0.000000
spf	14	132.000000	0.000000
spf	15	132.000000	0.000000
spf	16	132.000000	0.000000
spf	17	132.000000	0.000000
spf	18	132.000000	0.000000
spf	19	132.000000	0.000000
spf	20	132.000000	0.000000
spf	21	132.000000	0.000000
spf	22	132.000000	0.000000
spf	23	132.000000	0.000000
vlb	0	494.000000	0.000000
vlb	1	503.000000	0.000000
vlb	2	485.000000	0.000000
vlb	3	509.000000	0.000000
vlb	4	507.000000	0.000000
vlb	5	498.000000	0.000000
vlb	6	502.000000	0.000000
vlb	7	499.000000	0.000000
vlb	8	499.000000	0.000000
vlb	9	498.000000	0.000000
vlb	10	495.000000	0.000000
vlb	11	504.000000	0.000000
vlb	12	495.000000	0.000000
vlb	13	493.000000	0.000000
vlb	14	504.000000	0.000000
vlb	15	490.000000	0.000000
vlb	16	493.000000	0.000000
vlb	17	501.000000	0.000000
vlb	18	496.000000	0.000000
vlb	19	493.000000	0.000000
vlb	20	502.000000	0.000000
vlb	21	491.000000	0.000000
vlb	22	503.000000	0.000000
vlb	23	505.000000	0.000000

