#solver	iter	latency-throughput
		7. : 0.886516912725
		8. : 0.957705889332
		9. : 0.968424800461
		10. : 0.973214202271
ksp	8	
		1. : 0.0888521332406
		2. : 0.173108856263
		3. : 0.426141539771
		4. : 0.563878905793
		5. : 0.76292677564
		6. : 0.8350320035
		7. : 0.88683860422
		8. : 0.957904897226
		9. : 0.96853496726
		10. : 0.973303584731
ksp	9	
		1. : 0.0900694074675
		2. : 0.172808499346
		3. : 0.422017862836
		4. : 0.55892452202
		5. : 0.757669989135
		6. : 0.830852555183
		7. : 0.880949290532
		8. : 0.952495373061
		9. : 0.963294793926
		10. : 0.967821944577
ksp	10	
		1. : 0.0901912567468
		2. : 0.172944618099
		3. : 0.414232693731
		4. : 0.550558402383
		5. : 0.749671862909
		6. : 0.822719325971
		7. : 0.87285349561
		8. : 0.944551482959
		9. : 0.955221006542
		10. : 0.959756902078
ksp	11	
		1. : 0.0900728584083
		2. : 0.1732340082
		3. : 0.406299084245
		4. : 0.543561906856
		5. : 0.742036678032
		6. : 0.815062263935
		7. : 0.8660968716
		8. : 0.937424769052
		9. : 0.948098928635
		10. : 0.952711637759
ksp	12	
		1. : 0.0898339424766
		2. : 0.173592044029
		3. : 0.387600188342
		4. : 0.525778689762
		5. : 0.717380278489
		6. : 0.79032751049
		7. : 0.841387953145
		8. : 0.909282251491
		9. : 0.919902668708
		10. : 0.924492153717
ksp	13	
		1. : 0.0912281873835
		2. : 0.173066308419
		3. : 0.385650366455
		4. : 0.52293711838
		5. : 0.71056022695
		6. : 0.784482126746
		7. : 0.834736602353
		8. : 0.900825943419
		9. : 0.912061925913
		10. : 0.9166625274
ksp	14	
		1. : 0.0908353108717
		2. : 0.17459026923
		3. : 0.385771701482
		4. : 0.525319740696
		5. : 0.709051583935
		6. : 0.782570435156
		7. : 0.833148934537
		8. : 0.897222237777
		9. : 0.908327191127
		10. : 0.912863162969
ksp	15	
		1. : 0.091139940407
		2. : 0.175416878187
		3. : 0.414793545397
		4. : 0.554217957964
		5. : 0.750791229254
		6. : 0.823219696697
		7. : 0.873404104644
		8. : 0.943330184233
		9. : 0.954032288712
		10. : 0.958587773272
ksp	16	
		1. : 0.0913230920383
		2. : 0.173929374478
		3. : 0.416409738746
		4. : 0.554742241876
		5. : 0.75156391326
		6. : 0.824496463673
		7. : 0.874841410731
		8. : 0.945159541991
		9. : 0.955952551812
		10. : 0.960546731367
ksp	17	
		1. : 0.0913162790194
		2. : 0.173918291624
		3. : 0.384303116617
		4. : 0.52262603653
		5. : 0.702654524813
		6. : 0.775554046151
		7. : 0.825784467615
		8. : 0.88777257044
		9. : 0.898572393932
		10. : 0.903169473811
ksp	18	
		1. : 0.0911838561285
		2. : 0.173112991154
		3. : 0.381503727453
		4. : 0.518529085966
		5. : 0.695219972118
		6. : 0.768171211459
		7. : 0.818110424354
		8. : 0.878430944551
		9. : 0.889286971369
		10. : 0.893918093076
ksp	19	
		1. : 0.0902412465992
		2. : 0.172110568742
		3. : 0.376736488468
		4. : 0.513270515574
		5. : 0.684657588174
		6. : 0.757340532747
		7. : 0.807570399375
		8. : 0.865388077772
		9. : 0.876146508833
		10. : 0.880697562474
ksp	20	
		1. : 0.0900677815845
		2. : 0.171958740683
		3. : 0.37472726486
		4. : 0.511074260097
		5. : 0.679900356791
		6. : 0.752516853022
		7. : 0.803052800024
		8. : 0.859285135776
		9. : 0.870021506044
		10. : 0.87489048524
ksp	21	
		1. : 0.0904651412026
		2. : 0.173016903563
		3. : 0.382316931543
		4. : 0.519415607986
		5. : 0.700187472523
		6. : 0.77280213117
		7. : 0.823345275207
		8. : 0.885144878295
		9. : 0.895784883068
		10. : 0.900611224369
ksp	22	
		1. : 0.0904275459102
		2. : 0.174840288942
		3. : 0.378761762546
		4. : 0.515904559482
		5. : 0.684396337072
		6. : 0.756884238507
		7. : 0.806774965992
		8. : 0.862621061125
		9. : 0.873230789227
		10. : 0.877593938265
ksp	23	
		1. : 0.0903686136833
		2. : 0.174669787481
		3. : 0.377566532923
		4. : 0.514804492111
		5. : 0.680774451531
		6. : 0.753266005431
